,MMSI,imo,shipname,n_shipname
1,770576299,0,BANDURRIA,BANDURRIA
2,224470530,NA,MARLIN,MARLIN
3,244810320,NA,MARLIN,MARLIN
4,273356213,0,MARLIN,MARLIN
5,211743070,0,MARLIN,MARLIN
6,273333290,7700192,TORNADO           #?,TORNADO
7,792125572,0,ALBIMER,ALBIMER
8,273355510,0,MARLIN,MARLIN
9,345040017,9223801,HALCON,HALCON
10,171093624,4194304,TORNADO,TORNADO
11,293800000,8408466,INTREPIDO        &,INTREPIDO
12,770576191,0,HURACAN,HURACAN
13,636018687,9260067,"TORNADO  )  ,      *",TORNADO
14,590774592,9250323,ALERCE N,ALERCE
15,265571760,NA,MARLIN,MARLIN
16,211597070,0,SALMON,SALMON
17,725000029,0,INTREPIDO,INTREPIDO
18,408485000,NA,TORNADO,TORNADO
19,725000197,8903753,HURACAN      !,HURACAN
20,225989382,NA,INTREPIDO,INTREPIDO
21,725010191,0,MERO,MERO
22,235102779,0,MARLIN,MARLIN
23,211498140,0,MARLIN,MARLIN
24,244710731,0,TORNADO,TORNADO
25,800333345,NA,MERO,MERO
26,244730754,NA,TORNADO,TORNADO
27,258104060,0,MARLIN,MARLIN
28,701000844,0,PUCARA,PUCARA
29,265635970,0,CAMINA,CAMINA
30,244620777,0,MARLIN,MARLIN
31,247299900,0,INTREPIDO @@,INTREPIDO
32,306010000,949629000,MERO,MERO
33,224973270,NA,POLUX_,POLUX
34,367032540,7944657,MARLIN,MARLIN
35,263062009,NA,TORNADO,TORNADO
36,211756280,0,MARLIN,MARLIN
37,235114576,0,TORNADO,TORNADO
38,636014716,9453638,MARLIN   !,MARLIN
39,725001850,0,TORNADO,TORNADO
40,701006150,7723845,TORNADO,TORNADO
41,273318680,0,TORNADO,TORNADO
42,211611540,NA,MARLIN,MARLIN
43,760112018,0,HALCON,HALCON
44,273415310,8227680,MARLIN,MARLIN
45,247080480,0,TORNADO,TORNADO
46,354949000,270139784,MERO,MERO
47,225968720,0,POLUX,POLUX
48,269102950,NA,SY MARLIN,MARLIN
49,211675490,NA,MARLIN,MARLIN
50,205345890,0,TORNADO,TORNADO
51,538006236,9183647,MARLIN,MARLIN
52,701006045,0,HURACAN,HURACAN
53,304108000,9213715,MARLIN,MARLIN
54,725000192,0,SALMON,SALMON
55,316024866,NA,ELENA S,ELENAS
56,338182326,0,MARLIN,MARLIN
57,725000063,0,INTREPIDO,INTREPIDO
58,211606420,0,MARLIN,MARLIN
59,725019300,0,ALBIMER,ALBIMER
60,205242990,0,MARLIN,MARLIN
61,725000193,0,BLANQUILLO,BLANQUILLO
62,319642000,NA,GRINGO,GRINGO
63,272593000,8897526,TORNADO,TORNADO
64,244810243,0,MARLIN,MARLIN
65,247101020,0,MP MARLIN,MARLIN
66,725000834,0,CORPESCA 2,CORPESCA2
67,725000030,0,RELAMPAGO,RELAMPAGO
68,293832768,8408467,INTREPIDO       !,INTREPIDO
69,999999999,0,INTREPIDO,INTREPIDO
70,702049292,0,PUCARA,PUCARA
71,701006662,7723909,TORNADO,TORNADO
