,Nave,RPI,VMS_PRESENT
1,AUDAZ,24,TRUE
3,ALBIMER,42,TRUE
5,CAMINA,57,TRUE
6,INTREPIDO,78,TRUE
7,BARRACUDAIV,82,TRUE
9,BLANQUILLO,102,TRUE
10,CLAUDIAALEJANDRA,158,TRUE
13,AVENTURERO,191,TRUE
15,ELENAS,277,TRUE
16,ALERCE,281,TRUE
17,BANDURRIA,287,TRUE
18,COSTAGRANDE1,288,TRUE
22,EPERVA61,337,TRUE
23,EPERVA61,337,TRUE
24,EPERVA62,348,TRUE
25,EPERVA49,390,TRUE
27,EPERVA56,404,TRUE
28,EPERVA51,405,TRUE
29,HALCON,409,TRUE
30,HALCON,409,TRUE
32,HURACAN,417,TRUE
34,LOA1,436,TRUE
35,LOA2,437,TRUE
38,LOA7,449,TRUE
41,PARINAI,504,TRUE
44,ANGAMOS4,574,TRUE
45,ANGAMOS3,591,TRUE
46,ANGAMOS1,597,TRUE
47,ANGAMOS2,598,TRUE
48,PUCARA,600,TRUE
49,ATACAMAIV,614,TRUE
50,DONERNESTOAYALAMARFIL,636,TRUE
53,GRINGO,745,TRUE
54,MERO,752,TRUE
55,POLUX,764,TRUE
59,RELAMPAGO,903,TRUE
62,SALMON,951,TRUE
65,COLLEN,1021,TRUE
68,ICALMA,1083,TRUE
69,TRUENOI,1133,TRUE
72,SANJORGEI,1216,TRUE
82,LICANTEN,1703,TRUE
83,ANGAMOS9,1758,TRUE
90,EPERVA64,1867,TRUE
92,ATACAMAV,1896,TRUE
107,EPERVA65,1951,TRUE
112,TORNADO,1960,TRUE
113,DONGINO,1961,TRUE
134,MARLIN,1989,TRUE
135,EPERVA66,1992,TRUE
142,CORPESCA1,2501,TRUE
153,CORPESCA2,2535,TRUE
155,CONYI,21138,TRUE
156,CONYI,21138,TRUE
167,FOCHE,32025,TRUE
