Nave,RPI
AUDAZ,24
COCHA,25
ALBIMER,42
AMANCAY I,48
CAMIÑA,57
INTRÉPIDO,78
BARRACUDA IV,82
ISLA ORCAS,85
BLANQUILLO,102
CLAUDIA ALEJANDRA,158
PACHICA,171
PATILLOS,180
AVENTURERO,191
TAMBO,226
ELENA S,277
ALERCE,281
BANDURRIA,287
COSTA GRANDE 1,288
COSTA GRANDE 4,318
CORMORAN,321
GAVILAN,326
EPERVA 61,337
EPERVA 61,337
EPERVA 62,348
EPERVA 49,390
EPERVA 50,400
EPERVA 56,404
EPERVA 51,405
HALCON,409
HALCON,409
EPERVA 57,411
HURACAN,417
LIVILCAR,431
LOA 1,436
LOA 2,437
LOA 5,439
LOA 4,447
LOA 7,449
MANUEL ROJAS,477
RAULI,501
PARINA I,504
REÑACA,516
LONQUIMAY,543
ANGAMOS 4,574
ANGAMOS 3,591
ANGAMOS 1,597
ANGAMOS 2,598
PUCARA,600
ATACAMA IV,614
DON ERNESTO AYALA MARFIL,636
DON ENRIQUE,705
DON ENRIQUE,705
GRINGO,745
MERO,752
POLUX,764
CACHAGUA I,780
JONATAN,802
NISSHIN MARU 3,865
RELAMPAGO,903
MAORI,930
MAORI,930
SALMON,951
ANTARES,980
BERTA,1015
COLLEN,1021
ELDOM,1045
FOCHE,1065
ICALMA,1083
TRUENO I,1133
VAMA II,1184
ALTAIR 1,1206
SAN JORGE I,1216
N.S. DE LA TIRANA II,1217
SUNNAN II,1250
SUNNAN II,1250
SURMAR I,1381
SURMAR I,1381
SURMAR I,1381
ISLA PICTON,1496
ISLA PICTON,1496
GUALLATIRE,1692
LICANTEN,1703
ANGAMOS 9,1758
PELAGOS II,1828
PANILONCO,1835
CORAL I,1845
MALLECO,1853
TERRANOVA,1854
TERRANOVA,1854
EPERVA 64,1867
FRANCISCO,1895
ATACAMA V,1896
JAVIER,1897
DUQUECO,1907
BONN,1917
BONN,1917
QUERELEMA,1921
DON TITO,1938
DON TITO,1938
BIOMAR IV,1940
BIOMAR IV,1940
YELCHO I,1942
FRIOSUR VIII,1943
FRIOSUR VIII,1943
DON JULIO,1945
PEHUENCO,1946
EPERVA 65,1951
RAPANUI,1954
RAPANUI,1954
FRIOSUR IX,1956
FRIOSUR IX,1956
TORNADO,1960
DON GINO,1961
SANTA MARIA II,1962
VENTISQUERO,1964
ELBE,1965
DON BORIS,1966
DON MANUEL,1968
CORSARIO I,1969
MARIA JOSE,1971
BUCANERO I,1972
LONCO,1974
COBRA,1975
LIDER,1976
DON EDMUNDO,1977
AQUILES PANCHO,1981
AQUILES PANCHO,1981
MARIA EMPERATRIZ III,1982
MARIA EMPERATRIZ III,1982
TIO GRINGO,1983
TIO GRINGO,1983
VICHUQUEN II,1984
DON CHELO I,1985
MARLIN,1989
EPERVA 66,1992
POLARIS II,1993
POLARIS II,1993
DON STEFAN,1995
DON STEFAN,1995
FRIOSUR X,1997
FRIOSUR X,1997
CORPESCA 1,2501
LEOPARDO,2512
LEOPARDO,2512
LEOPARDO,2512
RAUTEN,2513
CAZADOR,2520
SAN JOSÉ,2521
VESTERVEG,2525
ARAUCO II,2527
PELICANO,2529
DON ALFONSO,2530
CORPESCA 2,2535
NAVE DE PRUEBA,15222
CONY I,21138
CONY I,21138
TOME,32000
caducado - SKORPION,32002
CRUSOE I,32003
SKORPION,32004
DON LINO,32011
JANUS,32012
JANUS,32012
DON FELIX III,32017
ALTAIR I,32018
DON ALFREDO,32019
FOCHE,32025
STA. ISABEL III,32026
RUTH,32034
