"","LatBin","LonBin","hours"
"1",-19.27,-72.52,1.307778
"2",-19.26,-72.43,0.1608333
"3",-19.31,-72.4,1.990278
"4",-19.28,-72.4,2
"5",-19.55,-72.23,2.4
"6",-19.54,-72.21,0.4
"7",-19.48,-72.21,3.333333
"8",-19.53,-72.17,0.4
"9",-19.49,-72.17,9.733333
"10",-19.55,-72.15,2
"11",-19.48,-72.15,4
"12",-19.56,-72.14,1.46666666666667
"13",-19.56,-72.13,1.066667
"14",-19.53,-72.13,0.8
"15",-19.49,-72.13,0.933333333333333
"16",-19.51,-72.11,3.066667
"17",-19.49,-72.11,4.266667
"18",-19.45,-72.11,1.73333333333333
"19",-19.45,-72.1,1.06666666666667
"20",-19.51,-72.06,2.53333333333333
"21",-19.53,-72.05,3.2
"22",-19.47,-72.05,0.533333333333333
"23",-19.66,-72,1.2
"24",-19.57,-71.95,0.133333333333333
"25",-19.57,-71.94,1.2
"26",-20.58,-71.93,1.923333
"27",-19.69,-71.93,0.4
"28",-20.58,-71.92,2.295278
"29",-20.57,-71.92,2.795833
"30",-20.55,-71.92,2.133333
"31",-20.54,-71.92,4.167222
"32",-19.7,-71.92,2
"33",-19.69,-71.92,0.8
"34",-19.64,-71.9,0.1333333
"35",-19.37,-71.9,0.4666667
"36",-20.47,-71.88,2.13861111111111
"37",-19.7,-71.88,3.195278
"38",-19.26,-71.88,1.866667
"39",-19.68,-71.87,0.6391667
"40",-19.56,-71.87,1.333333
"41",-20.52,-71.86,2.55555555555556
"42",-20.5,-71.86,5.92555566666667
"43",-20.49,-71.86,2.733333
"44",-19.56,-71.86,4.4000003
"45",-19.37,-71.86,2.11777777777778
"46",-19.33,-71.86,0.3252778
"47",-20.5,-71.85,0.1236111
"48",-20.48,-71.85,3.8525
"49",-19.59,-71.85,0.266666666666667
"50",-19.39,-71.85,2.394444
"51",-19.46,-71.84,0.4036111
"52",-19.44,-71.84,2.691111
"53",-19.42,-71.84,2.65
"54",-19.36,-71.84,5.049167
"55",-19.32,-71.84,2
"56",-19.3,-71.84,2.816667
"57",-19.25,-71.84,1.866667
"58",-19.21,-71.84,1.866667
"59",-19.52,-71.83,3.06666666666667
"60",-19.36,-71.83,2.25
"61",-19.35,-71.83,3.464167
"62",-19.32,-71.83,4.4025
"63",-19.31,-71.83,2.133333
"64",-19.29,-71.83,5.193333
"65",-19.22,-71.83,0.2666667
"66",-19.21,-71.83,10.52972
"67",-19.19,-71.83,1.547778
"68",-20.49,-71.82,2
"69",-19.35,-71.82,1.46472222222222
"70",-19.34,-71.82,2.113611
"71",-19.33,-71.82,5.46638888888889
"72",-19.32,-71.82,8.11861155555556
"73",-19.28,-71.82,1.615833
"74",-19.26,-71.82,2.133333
"75",-19.25,-71.82,4.96250033333333
"76",-19.22,-71.82,4.669167
"77",-19.21,-71.82,2.250278
"78",-19.2,-71.82,1.054167
"79",-19.41,-71.81,1.666667
"80",-19.37,-71.81,0.5666667
"81",-19.36,-71.81,3.08305555555556
"82",-19.33,-71.81,2.53777777777778
"83",-19.31,-71.81,3.877222
"84",-19.3,-71.81,9.5525
"85",-19.29,-71.81,3.47722222222222
"86",-19.27,-71.81,2.533333
"87",-19.22,-71.81,2.12305555555556
"88",-19.21,-71.81,0.6716667
"89",-19.19,-71.81,2.775556
"90",-19.18,-71.81,3.055278
"91",-19.46,-71.8,1.733333
"92",-19.45,-71.8,0.135
