"","LatBin","LonBin","FishingHours"
"1",-19.43,-72.97,0
"2",-19.42,-72.96,0
"3",-19.43,-72.95,0
"4",-19.41,-72.94,0
"5",-19.43,-72.93,0
"6",-19.4,-72.92,0
"7",-19.43,-72.9,0
"8",-19.39,-72.9,0
"9",-19.48,-72.89,0
"10",-19.43,-72.88,0
"11",-19.38,-72.88,0
"12",-19.48,-72.87,0
"13",-19.46,-72.87,0
"14",-19.37,-72.86,0
"15",-19.43,-72.85,0
"16",-19.55,-72.84,0
"17",-19.48,-72.84,0
"18",-19.43,-72.84,0
"19",-19.43,-72.83,0
"20",-19.36,-72.83,0
"21",-19.56,-72.82,0
"22",-19.54,-72.82,0
"23",-19.48,-72.82,0
"24",-19.41,-72.82,0
"25",-19.52,-72.81,0
"26",-19.35,-72.81,0
"27",-19.56,-72.8,0
"28",-19.5,-72.8,0
"29",-19.43,-72.8,0
"30",-19.4,-72.8,0
"31",-19.48,-72.79,0
"32",-19.33,-72.79,0
"33",-19.43,-72.78,0
"34",-19.38,-72.78,0
"35",-19.56,-72.77,0
"36",-19.48,-72.77,0
"37",-19.46,-72.77,0
"38",-19.32,-72.77,0
"39",-19.45,-72.76,0
"40",-19.37,-72.76,0
"41",-19.56,-72.75,0
"42",-19.43,-72.75,0
"43",-19.31,-72.75,0
"44",-19.48,-72.74,0
"45",-19.43,-72.74,0
"46",-19.35,-72.74,0
"47",-19.43,-72.73,0
"48",-19.34,-72.73,0
"49",-19.29,-72.73,0
"50",-19.56,-72.72,0
"51",-19.48,-72.72,0
"52",-19.42,-72.72,0
"53",-19.4,-72.71,0
"54",-19.32,-72.71,0
"55",-19.55,-72.7,0
"56",-19.43,-72.7,0
"57",-19.27,-72.7,0
"58",-19.48,-72.69,0
"59",-19.38,-72.69,0
"60",-19.55,-72.68,0
"61",-19.43,-72.68,0
"62",-19.37,-72.68,0
"63",-19.25,-72.68,0
"64",-19.24,-72.68,0
"65",-19.48,-72.67,0
"66",-19.29,-72.67,0
"67",-19.55,-72.66,0
"68",-19.35,-72.66,0
"69",-19.43,-72.65,0
"70",-19.28,-72.65,0
"71",-19.2,-72.65,0
"72",-19.48,-72.64,0
"73",-19.34,-72.64,0
"74",-19.55,-72.63,0
"75",-19.44,-72.63,0
"76",-19.32,-72.63,0
"77",-19.26,-72.63,0
"78",-19.24,-72.63,0
"79",-19.23,-72.63,0
"80",-19.19,-72.63,0
"81",-19.48,-72.62,0
"82",-19.26,-72.62,0
"83",-19.25,-72.62,0
"84",-19.22,-72.62,0
"85",-19.55,-72.61,0
"86",-19.3,-72.61,0
"87",-19.27,-72.61,0
"88",-19.24,-72.61,0
"89",-19.21,-72.61,0
"90",-19.17,-72.61,0
"91",-19.44,-72.6,0
"92",-19.29,-72.6,0
"93",-19.28,-72.6,0
"94",-19.23,-72.6,0
"95",-19.2,-72.6,0
"96",-19.54,-72.59,0
"97",-19.48,-72.59,0
"98",-19.23,-72.59,0
"99",-19.22,-72.59,0
"100",-19.15,-72.59,0
"101",-19.44,-72.58,0
"102",-19.29,-72.58,0
"103",-19.27,-72.58,0
"104",-19.25,-72.58,0
"105",-19.21,-72.58,0
"106",-19.14,-72.58,0
"107",-19.54,-72.57,0
"108",-19.48,-72.57,0
"109",-19.3,-72.57,0
"110",-19.27,-72.57,0
"111",-19.25,-72.57,0
"112",-19.44,-72.56,0
"113",-19.19,-72.56,0
"114",-19.12,-72.56,0
"115",-19.3,-72.55,0
"116",-19.28,-72.55,0
"117",-19.27,-72.55,0.2
"118",-19.24,-72.55,0
"119",-19.54,-72.54,0
"120",-19.48,-72.54,0
"121",-19.27,-72.54,0.266666666666667
"122",-19.18,-72.54,0
"123",-19.44,-72.53,0
"124",-19.27,-72.53,0.133333333333333
"125",-19.22,-72.53,0
"126",-19.54,-72.52,0
"127",-19.48,-72.52,0
"128",-19.3,-72.52,0
"129",-19.27,-72.52,0
"130",-19.16,-72.52,0
"131",-19.44,-72.51,0
"132",-19.3,-72.51,0
"133",-19.27,-72.51,0
"134",-19.19,-72.51,0
"135",-19.14,-72.51,0
"136",-19.54,-72.5,0
"137",-19.28,-72.5,0.266666666666667
"138",-19.27,-72.5,0.0702777777777778
"139",-19.48,-72.49,0
"140",-19.29,-72.49,0
"141",-19.17,-72.49,0
"142",-19.12,-72.49,0
"143",-19.54,-72.48,0
"144",-19.44,-72.48,0
"145",-19.29,-72.48,0
"146",-19.27,-72.48,0
"147",-19.16,-72.48,0
"148",-19.48,-72.47,0
"149",-19.29,-72.47,0
"150",-19.27,-72.47,0
"151",-19.54,-72.46,0
"152",-19.44,-72.46,0
"153",-19.14,-72.46,0
"154",-19.27,-72.45,0
"155",-19.12,-72.45,0
"156",-19.48,-72.44,0
"157",-19.35,-72.44,0
"158",-19.34,-72.44,0
"159",-19.31,-72.44,0
"160",-19.53,-72.43,0
"161",-19.45,-72.43,0
"162",-19.36,-72.43,0
"163",-19.29,-72.43,0
"164",-19.27,-72.43,0.0275
"165",-19.26,-72.43,0
"166",-19.38,-72.42,0
"167",-19.32,-72.42,0
