"","shipname","n_shipname"
"1","ALBIMER (IND)","ALBIMER"
"2","HURACAN (IND)","HURACAN"
"3","DON GINO (IND)","DONGINO"
"4","HALCON (IND)","HALCON"
"5","CONY I (IND)","CONYI"
"6","INTREPIDO (IND)","INTREPIDO"
"7","LOA 1 (IND)","LOA1"
"8","ELENA S (IND)","ELENAS"
"9","ANGAMOS 4 (IND)","ANGAMOS4"
"10","SAN JORGE I (IND)","SANJORGEI"
"11","COLLEN (IND)","COLLEN"
"12","PUCARA (IND)","PUCARA"
"13","TORNADO (IND)","TORNADO"
"14","BARRACUDA IV (IND)","BARRACUDAIV"
"15","EPERVA 66 (IND)","EPERVA66"
"16","ANGAMOS 3 (IND)","ANGAMOS3"
"17","EPERVA 65 (IND)","EPERVA65"
"18","EPERVA 64 (IND)","EPERVA64"
"19","ANGAMOS 1 (IND)","ANGAMOS1"
"20","MERO (IND)","MERO"
"21","MARLIN (IND)","MARLIN"
"22","AVENTURERO (IND)","AVENTURERO"
"23","CORPESCA 2 (IND)","CORPESCA2"
"24","SALMON (IND)","SALMON"
"25","BLANQUILLO (IND)","BLANQUILLO"
"26","EPERVA 51 (IND)","EPERVA51"
"27","EPERVA 62 (IND)","EPERVA62"
"28","LOA 7 (IND)","LOA7"
"29","EPERVA 56 (IND)","EPERVA56"
"30","AUDAZ (IND)","AUDAZ"
"31","EPERVA 61 (IND)","EPERVA61"
"32","ATACAMA V (IND)","ATACAMAV"
"33","COSTA GRANDE 1 (IND)","COSTAGRANDE1"
"34","RELAMPAGO (IND)","RELAMPAGO"
"35","LOA 2 (IND)","LOA2"
"36","ICALMA (IND)","ICALMA"
"37","CLAUDIA ALEJANDRA (IND)","CLAUDIAALEJANDRA"
"38","ATACAMA IV (IND)","ATACAMAIV"
"39","PARINA I (IND)","PARINAI"
"40","DON ERNESTO AYALA MARFIL (IND)","DONERNESTOAYALAMARFIL"
"41","ANGAMOS 9 (IND)","ANGAMOS9"
"42","GRINGO (IND)","GRINGO"
"43","POLUX (IND)","POLUX"
"44","FOCHE (IND)","FOCHE"
"45","TRUENO I (IND)","TRUENOI"
"46","LICANTEN (IND)","LICANTEN"
"47","ANGAMOS 2 (IND)","ANGAMOS2"
"48","CAMIÑA (IND)","CAMINA"
"49","ALERCE (IND)","ALERCE"
"50","EPERVA 49 (IND)","EPERVA49"
"51","BANDURRIA (IND)","BANDURRIA"
