field_1,n_shipname,lat_bin,lon_bin,fishing_hours,total_hours,fishing_hours_sq_km,total_hours_sq_km
"16",TORNADO,-19.8,-70.3,0,0.174166666666667,0,0.150239624885865
"36",MERO,-19.4,-70.44,0,0.0833333333333333,0,0.0717065076845257
"37",MERO,-19.74,-70.36,0,0.268611111111111,0,0.23162208011063
"57",ANGAMOS4,-19.83,-70.24,0,0.135555555555556,0,0.116954976668024
"102",HURACAN,-19.78,-70.26,0,0.273333333333333,0,0.23575314751263
"103",HURACAN,-19.52,-70.3,0,0.931388888888889,0,0.802033034668459
"116",EPERVA49,-19.59,-70.3,0,0.533333333333333,0,0.459460729106189
"117",EPERVA49,-19.61,-70.29,0,0.333333333333333,0,0.287198651334638
"174",ANGAMOS2,-19.45,-70.34,0.947777777777778,1.50111111111111,0.815793029060266,1.29207078811304
"175",ANGAMOS2,-19.79,-70.31,0,0.266666666666667,0,0.230017511735326
"222",SANJORGEI,-19.59,-70.35,0.394444444444444,0.794444444444445,0.339809497568119,0.684405044397761
"223",SANJORGEI,-19.55,-70.35,0,0.266666666666667,0,0.229673356751756
"224",SANJORGEI,-19.66,-70.37,0,0.133333333333333,0,0.1149152329862
"278",EPERVA61,-19.65,-70.35,0,0.491666666666667,0,0.42372350706495
"281",EPERVA61,-19.73,-70.32,0,0.390833333333333,0,0.336992618966317
"282",EPERVA61,-19.78,-70.31,0,0.252222222222222,0,0.217544571078728
"286",EPERVA61,-19.44,-70.38,0,0.316388888888889,0,0.272312722214382
"314",EPERVA61,-19.66,-70.4,0,0.283611111111111,0,0.244434276831062
"315",EPERVA61,-19.78,-70.35,0.732222222222222,0.872222222222222,0.63155009841798,0.752301710558596
"362",LICANTEN,-19.42,-70.43,0.4,0.4,0.344233572937606,0.344233572937606
"363",LICANTEN,-19.4,-70.44,0.283333333333333,0.283333333333333,0.243802126127387,0.243802126127387
"366",LICANTEN,-19.54,-70.42,1.88333333333333,2.01666666666667,1.62196758238453,1.73679714573919
"367",LICANTEN,-19.72,-70.29,0,0.666666666666667,0,0.574791524743736
"381",ATACAMAIV,-19.75,-70.19,0,0.133333333333333,0,0.114979900335714
"402",PARINAI,-19.78,-70.34,0,0.0638888888888889,0,0.055104902365757
"403",PARINAI,-19.37,-70.36,0,0.477222222222222,0,0.410563620520971
"510",EPERVA62,-19.81,-70.28,0,0.120833333333333,0,0.104239784145787
"512",EPERVA62,-19.4,-70.36,0.816388888888889,1.70222222222222,0.70248475361607,1.46472493030258
"532",CORPESCAI,-19.35,-70.32,0,0.116666666666667,0,0.1003583074904
"533",CORPESCAI,-19.66,-70.29,0,0.286944444444444,0,0.247307157655717
"550",BANDURRIA,-19.79,-70.3,0,0.228888888888889,0,0.197431697572821
"618",ATACAMAIV,-19.66,-70.28,0,0.666666666666667,0,0.574576164930998
"651",ALBIMER,-19.65,-70.24,0,0.666666666666667,0,0.574540348562645
"653",ALBIMER,-19.7,-70.23,0.133333333333333,0.933333333333333,0.114943930034632,0.804607510242422
"654",ALBIMER,-19.82,-70.21,1.06666666666667,2.13333333333333,0.920243550584302,1.8404871011686
"659",ALBIMER,-19.69,-70.19,0,0.266666666666667,0,0.229873498353883
"668",ALBIMER,-19.66,-70.27,0,0.266666666666667,0,0.229830465972399
"670",ALBIMER,-19.68,-70.21,1.46666666666667,1.6,1.26422529988861,1.37915487260575
"672",ALBIMER,-19.58,-70.25,0,0.133333333333333,0,0.114858049726513
"674",ALBIMER,-19.35,-70.34,0,0.133333333333333,0,0.114695208560457
"676",ALBIMER,-19.55,-70.4,0,0.266666666666667,0,0.229673356751756
"721",CLAUDIAALEJANDRA,-19.63,-70.33,0,0.4,0,0.344681269027509
"732",COLLEN,-19.53,-70.33,0,1.46666666666667,0,1.26304697983769
"782",LOA1,-19.41,-70.34,0,0.383333333333333,0,0.329870215101938
"801",EPERVA49,-19.66,-70.31,0,0.466666666666667,0,0.402203315451699
"802",EPERVA49,-19.5,-70.36,0,0.666666666666667,0,0.574005735240649
"839",EPERVA62,-19.76,-70.3,0,0.418888888888889,0,0.361251163066296
"855",RELAMPAGO,-19.51,-70.34,1.19138888888889,2.16638888888889,1.02585950191663,1.86539479026528
"856",RELAMPAGO,-19.33,-70.39,0,0.129444444444444,0,0.111336290468443
"860",RELAMPAGO,-19.45,-70.39,0,0.292777777777778,0,0.252006404639367
"934",SANJORGEI,-19.45,-70.31,0,0.0197222222222222,0,0.0169757635003748
"935",SANJORGEI,-19.38,-70.37,0,0.417777777777778,0,0.359444462204403
"968",EPERVA49,-19.42,-70.29,0,0.133333333333333,0,0.114744524312535
"969",EPERVA49,-19.56,-70.28,0,0.2,0,0.172265696666143
"971",EPERVA49,-19.77,-70.3,0,0.133333333333333,0,0.114994319285653
"973",EPERVA49,-19.52,-70.29,0,0.133333333333333,0,0.114815346448214
"983",EPERVA49,-19.53,-70.34,0,0.333333333333333,0,0.287056131781294
"1034",EPERVA62,-19.47,-70.3,0,0.947777777777778,0,0.815893652335924
"1051",ATACAMAV,-19.51,-70.31,0,0.266666666666667,0,0.229616489120999
"1070",BLANQUILLO,-19.83,-70.23,0,0.5625,0,0.485315220804811
"1071",BLANQUILLO,-19.56,-70.3,0,0.470833333333333,0,0.405542160901545
"1150",EPERVA51,-19.47,-70.31,0,0.272222222222222,0,0.234342256532592
"1151",EPERVA51,-19.59,-70.28,0,0.328611111111111,0,0.283094813819074
"1162",ANGAMOS1,-19.39,-70.38,0,0.0666666666666667,0,0.0573616814148921
"1163",ANGAMOS1,-19.41,-70.38,0,0.277222222222222,0,0.238558314979518
"1215",HALCON,-19.55,-70.4,0,0.281944444444444,0,0.242831726148992
"1217",HALCON,-19.67,-70.37,0,0.1525,0,0.131442495747996
"1262",RELAMPAGO,-19.82,-70.26,0,0.262222222222222,0,0.226226539518641
"1263",RELAMPAGO,-19.73,-70.28,0,0.503055555555556,0,0.433755247297797
"1391",BARRACUDAIV,-19.35,-70.32,0,0.218888888888889,0,0.188291300720083
"1401",BARRACUDAIV,-19.64,-70.41,0,0.356666666666667,0,0.30735993647484
"1403",ATACAMAV,-19.52,-70.3,0,0.266666666666667,0,0.229630692896427
"1417",CLAUDIAALEJANDRA,-19.64,-70.25,0,0.133333333333333,0,0.114900910831716
"1465",PUCARA,-19.55,-70.41,0,0,0,0
"1479",BANDURRIA,-19.68,-70.3,0,0.933333333333333,0,0.804507009020024
"1532",INTREPIDO,-19.54,-70.41,0,0.139722222222222,0,0.120331813265401
"1533",INTREPIDO,-19.52,-70.38,0,0.133055555555556,0,0.11457614780978
"1559",INTREPIDO,-19.71,-70.38,0,0.264166666666667,0,0.227746897171244
"1610",DONERNESTOAYALAMARFIL,-19.59,-70.41,0,0.226111111111111,0,0.194792204943978
"1622",DONERNESTOAYALAMARFIL,-19.82,-70.27,0,0.460555555555556,0,0.39733432470541
"1623",DONERNESTOAYALAMARFIL,-19.51,-70.32,0,0.219722222222222,0,0.189194419681989
"1627",DONERNESTOAYALAMARFIL,-19.71,-70.32,0,0.367222222222222,0,0.31659453003195
"1628",DONERNESTOAYALAMARFIL,-19.76,-70.31,0,0.211388888888889,0,0.182302476852421
"1749",BARRACUDAIV,-19.35,-70.43,0,0.05,0,0.0430107032101713
"1845",ICALMA,-19.66,-70.32,0,0.486111111111111,0,0.418961786928853
"1847",CORPESCA2,-19.49,-70.32,0,0.1225,0,0.105467037029685
"1848",CORPESCA2,-19.63,-70.31,0,0.2625,0,0.226197082799303
"1854",CORPESCA2,-19.76,-70.26,0,0.125277777777778,0,0.108039969856034
"1855",ANGAMOS4,-19.61,-70.3,0,0.751388888888889,0,0.647393626550162
"1858",ANGAMOS2,-19.35,-70.38,0,0.345833333333333,0,0.297490697203684
"1859",ANGAMOS2,-19.73,-70.36,0,0.305833333333333,0,0.263702113348909
"1971",BLANQUILLO,-19.64,-70.39,0,0.32,0,0.275762185996118
"1973",BLANQUILLO,-19.41,-70.36,0,0.15,0,0.129079649387715
"2161",CORPESCA2,-19.48,-70.35,0,0.298333333333333,0,0.25683583451071
"2181",CORPESCA2,-19.63,-70.33,0,0.252222222222222,0,0.217340689081235
"2290",MERO,-19.57,-70.32,0,0.21,0,0.180890201457878
"2291",MERO,-19.7,-70.32,0,0.412222222222222,0,0.355368317023737
"2301",COSTAGRANDE1,-19.74,-70.19,1.75,2.3,1.50901665428849,1.98327903135058
"2368",PUCARA,-19.46,-70.39,0,0.306666666666667,0,0.26397744167265
"2369",PUCARA,-19.45,-70.39,0,0.107222222222222,0,0.0922907705795025
"2378",MERO,-19.54,-70.37,0,0.240277777777778,0,0.206932442295371
"2393",MERO,-19.74,-70.3,0,0.227222222222222,0,0.195932638604442
"2412",RELAMPAGO,-19.43,-70.32,0,0.534166666666667,0,0.459723544885286
"2444",RELAMPAGO,-19.62,-70.3,0,0.538611111111111,0,0.464094019805015
"2447",RELAMPAGO,-19.65,-70.29,0,0.836388888888889,0,0.720808745634218
"2448",RELAMPAGO,-19.7,-70.28,0,0.654166666666667,0,0.563943656732412
"2507",RELAMPAGO,-19.71,-70.37,0,0.284444444444444,0,0.245229045955156
"2508",RELAMPAGO,-19.81,-70.33,0,0.422222222222222,0,0.364240165291024
"2553",DONGINO,-19.63,-70.29,0,0.348611111111111,0,0.300399300437169
"2570",DONGINO,-19.75,-70.29,0,0.527777777777778,0,0.4551287721622
"2602",BARRACUDAIV,-19.66,-70.36,1.8125,2.48138888888889,1.56212894840615,2.13862036722025
"2633",BARRACUDAIV,-19.47,-70.43,0,0.0330555555555556,0,0.0284558454361005
"2637",BARRACUDAIV,-19.79,-70.35,0,0.200277777777778,0,0.172752735376218
"2638",BARRACUDAIV,-19.43,-70.39,0,0.177222222222222,0,0.152523984210511
"2663",LOA7,-19.53,-70.28,0,0.233333333333333,0,0.200939292246906
"2664",LOA7,-19.55,-70.29,0,0.533333333333333,0,0.459346713503512
"2716",MERO,-19.76,-70.37,0,0.27,0,0.232848892904801
"2726",ATACAMAV,-19.75,-70.21,0,0.8,0,0.689879402014281
"2730",CORPESCAI,-19.67,-70.32,0,0.348888888888889,0,0.300713615044596
"2745",ANGAMOS4,-19.54,-70.31,0,0.535833333333333,0,0.461471307731528
"2746",ANGAMOS4,-19.61,-70.29,0,0.133333333333333,0,0.114879460533855
"2747",ANGAMOS4,-19.72,-70.29,0,0.407222222222222,0,0.351101823030965
"2843",LOA7,-19.73,-70.35,0,0.266666666666667,0,0.229930998015398
"2860",LOA7,-19.78,-70.29,0,0.283333333333333,0,0.244378262665531
"2861",LOA7,-19.72,-70.36,0,0.266666666666667,0,0.229916609897494
"2864",LOA7,-19.55,-70.35,0,0.266666666666667,0,0.229673356751756
"2865",LOA7,-19.74,-70.35,0,0.266666666666667,0,0.229945394939198
"2885",ATACAMAV,-19.84,-70.34,0,0.533333333333333,0,0.460179698118827
"2888",HALCON,-19.46,-70.31,0.536111111111111,0.586111111111111,0.461482302924108,0.504522103196823
"2906",MARLIN,-19.49,-70.29,0,0.738888888888889,0,0.636150382083815
"2907",MARLIN,-19.75,-70.26,0,0.9375,0,0.808452424235486
"2922",COLLEN,-19.75,-70.24,1.46666666666667,1.91666666666667,1.26477890369285,1.65283606732588
"2923",COLLEN,-19.77,-70.23,0,0.266666666666667,0,0.229988638571306
"2925",COLLEN,-19.81,-70.3,0,0.25,0,0.215668518922317
"2945",ALERCE,-19.65,-70.39,0,0.333333333333333,0,0.287270174281322
"2946",ALERCE,-19.53,-70.42,0,0.133333333333333,0,0.114822452712518
"2947",ALERCE,-19.45,-70.34,0,0.133333333333333,0,0.114765725072956
