field_1,n_shipname,lat_bin,lon_bin,fishing_hours,total_hours,fishing_hours_sq_km,total_hours_sq_km
"117",EPERVA49,-19.61,-70.29,0,0.333333333333333,0,0.287198651334638
"533",CORPESCAI,-19.66,-70.29,0,0.286944444444444,0,0.247307157655717
"618",ATACAMAIV,-19.66,-70.28,0,0.666666666666667,0,0.574576164930998
"651",ALBIMER,-19.65,-70.24,0,0.666666666666667,0,0.574540348562645
"668",ALBIMER,-19.66,-70.27,0,0.266666666666667,0,0.229830465972399
"1417",CLAUDIAALEJANDRA,-19.64,-70.25,0,0.133333333333333,0,0.114900910831716
"1848",CORPESCA2,-19.63,-70.31,0,0.2625,0,0.226197082799303
"1855",ANGAMOS4,-19.61,-70.3,0,0.751388888888889,0,0.647393626550162
"2444",RELAMPAGO,-19.62,-70.3,0,0.538611111111111,0,0.464094019805015
"2447",RELAMPAGO,-19.65,-70.29,0,0.836388888888889,0,0.720808745634218
"2553",DONGINO,-19.63,-70.29,0,0.348611111111111,0,0.300399300437169
"2746",ANGAMOS4,-19.61,-70.29,0,0.133333333333333,0,0.114879460533855
"3096",AUDAZ,-19.62,-70.3,0,0.609166666666667,0,0.524888182275605
"3484",ANGAMOS3,-19.63,-70.3,0,0.672777777777778,0,0.57973474554488
"4388",MARLIN,-19.64,-70.26,0,0.05,0,0.0430878415618934
"4925",ATACAMAIV,-19.63,-70.27,0,0.4,0,0.344681269027509
"5367",TRUENOI,-19.6,-70.31,0,0.162777777777778,0,0.140239956371207
"5498",LICANTEN,-19.62,-70.26,0,0.8,0,0.689319637461807
"5937",INTREPIDO,-19.66,-70.27,0.733333333333333,1.27916666666667,0.632033781424098,1.10246801646135
"6063",ATACAMAV,-19.63,-70.26,0,0.133333333333333,0,0.114893756342503
"6154",RELAMPAGO,-19.64,-70.26,0,0.120555555555556,0,0.103889573543676
"6178",LICANTEN,-19.62,-70.27,0,0.183611111111111,0,0.158208430681338
"6269",LOA1,-19.62,-70.3,0,0.266666666666667,0,0.229773212487269
"6801",LOA7,-19.61,-70.3,0,0.298333333333333,0,0.257042792944501
"7263",EPERVA66,-19.63,-70.27,0,0.473611111111111,0,0.408112197008266
"7577",LOA2,-19.6,-70.31,0.133333333333333,0.266666666666667,0.11487231921191,0.229744638423821
"7658",ANGAMOS1,-19.63,-70.3,0,0.328611111111111,0,0.283165236985794
"8048",ALBIMER,-19.64,-70.24,0,0.133333333333333,0,0.114900910831716
"8227",PARINAI,-19.62,-70.31,0,0.156666666666667,0,0.134991762336271
"9275",ANGAMOS2,-19.61,-70.31,0,0.260555555555556,0,0.224493612459908
"9574",CORPESCA2,-19.63,-70.28,0,0.15,0,0.129255475885316
"9596",EPERVA49,-19.66,-70.27,0,0.266666666666667,0,0.229830465972399
"9605",TORNADO,-19.61,-70.3,0,0.201388888888889,0,0.17351585184801
"10070",EPERVA56,-19.63,-70.3,1.58111111111111,3.14388888888889,1.36244846062818,2.70909902975927
"10209",LOA1,-19.65,-70.29,0,0.566666666666667,0,0.488359296278248
"10859",DONERNESTOAYALAMARFIL,-19.63,-70.28,0,0.125,0,0.107712896571097
"10860",DONERNESTOAYALAMARFIL,-19.64,-70.29,0.573055555555556,1.15888888888889,0.493834539678812,0.998680416645663
"11180",SALMON,-19.6,-70.29,0,0.516944444444444,0,0.445369554277844
"11186",SALMON,-19.6,-70.28,0,0.241111111111111,0,0.207727443908205
"11203",COLLEN,-19.62,-70.28,0,0.533333333333333,0,0.459546424974538
"12158",MARLIN,-19.65,-70.27,0,0.463888888888889,0,0.39978432587484
"12204",ANGAMOS4,-19.63,-70.26,0,0,0,0
"12254",ANGAMOS4,-19.64,-70.31,0,0.216666666666667,0,0.186713980101538
"12617",BLANQUILLO,-19.61,-70.29,0,0.07,0,0.0603117167802739
"12665",EPERVA61,-19.65,-70.29,0,0.261944444444444,0,0.225746478622739
"13639",TORNADO,-19.64,-70.3,0,0.245555555555556,0,0.21160917744841
"14068",EPERVA56,-19.62,-70.31,0,0.395555555555556,0,0.340830265189449
"14455",BANDURRIA,-19.64,-70.25,0,0.133333333333333,0,0.114900910831716
"14606",EPERVA56,-19.65,-70.29,0,0.766666666666667,0,0.660721400847041
"14997",ANGAMOS2,-19.63,-70.31,0,0.363333333333333,0,0.313085486033321
"15015",ANGAMOS2,-19.63,-70.28,0,0.278888888888889,0,0.240319440349736
"15182",DONGINO,-19.65,-70.3,0,0.1975,0,0.170207578261684
"16284",COLLEN,-19.61,-70.3,0,0.133333333333333,0,0.114879460533855
"16837",TORNADO,-19.64,-70.26,0,0.196111111111111,0,0.169000089681649
"16992",ANGAMOS4,-19.62,-70.31,0,0.0788888888888889,0,0.0679745753608171
"17348",ANGAMOS9,-19.62,-70.31,0,0.247777777777778,0,0.213497609936087
"17774",TORNADO,-19.65,-70.26,0,0.13,0,0.112035367969716
"18306",HURACAN,-19.64,-70.28,0,0.351944444444444,0,0.303290529216217
"18363",BARRACUDAIV,-19.61,-70.32,0,0.0263888888888889,0,0.0227365598973255
"19878",AVENTURERO,-19.64,-70.3,0,0.461388888888889,0,0.39760502685725
"19879",AVENTURERO,-19.6,-70.3,0,0.139166666666667,0,0.119897983177431
"20750",HURACAN,-19.65,-70.27,0,0.658055555555556,0,0.567119202393711
"21346",RELAMPAGO,-19.66,-70.3,0,0.395,0,0.340436377721616
"22390",ANGAMOS2,-19.62,-70.32,0,0.394166666666667,0,0.339633529707744
"22506",EPERVA61,-19.62,-70.32,0,0.393611111111111,0,0.339154835515063
"22893",ALBIMER,-19.61,-70.27,0,0.266666666666667,0,0.22975892106771
"23223",PARINAI,-19.63,-70.29,0,0.648888888888889,0,0.559149614200181
"24500",CORPESCA2,-19.66,-70.27,0,0.428888888888889,0,0.369643999438942
"24502",CORPESCA2,-19.63,-70.29,0,0.378611111111111,0,0.326250395614233
"26740",COSTAGRANDE1,-19.66,-70.28,0,0.533333333333333,0,0.459660931944798
"26983",AVENTURERO,-19.65,-70.31,0.57,1.34611111111111,0.491231998021061,1.16009272047274
"27031",CAMINA,-19.61,-70.27,0,0.260833333333333,0,0.224732944669354
"27327",ATACAMAIV,-19.63,-70.32,0,0.133333333333333,0,0.114893756342503
"27779",TRUENOI,-19.63,-70.32,0,0.258611111111111,0,0.22284601490598
"27967",DONERNESTOAYALAMARFIL,-19.64,-70.3,0.491388888888889,0.959166666666667,0.423457731794386,0.826568427295656
"28148",ALERCE,-19.66,-70.26,0,0.133333333333333,0,0.1149152329862
"28324",ATACAMAIV,-19.61,-70.29,0,0.533333333333333,0,0.45951784213542
"28396",EPERVA49,-19.65,-70.31,0,0.133333333333333,0,0.114908069712529
"29208",LOA7,-19.66,-70.3,0,0.133333333333333,0,0.1149152329862
"29262",PUCARA,-19.65,-70.29,0,0.25,0,0.215452630710992
"30718",ANGAMOS3,-19.63,-70.32,0,0.132222222222222,0,0.113936308372982
"30937",BARRACUDAIV,-19.61,-70.28,0.406388888888889,0.562222222222222,0.350143022418812,0.484408391917755
"30947",BARRACUDAIV,-19.63,-70.32,0,0.278055555555556,0,0.239601354372595
"31189",EPERVA61,-19.63,-70.28,0,0.469166666666667,0,0.404282405130182
"31430",EPERVA64,-19.61,-70.3,0,0.522777777777778,0,0.45042321817649
"31684",ANGAMOS1,-19.64,-70.28,0,0.0319444444444444,0,0.0275283432200986
"31714",ANGAMOS1,-19.62,-70.32,0,0.0897222222222222,0,0.0773091121181124
"31875",EPERVA49,-19.64,-70.28,0,0.0666666666666667,0,0.0574504554158579
"32799",EPERVA65,-19.61,-70.32,0,0.344166666666667,0,0.296532607503013
"33178",DONERNESTOAYALAMARFIL,-19.66,-70.27,0,0.528055555555556,0,0.455112203972428
"33484",COLLEN,-19.64,-70.31,0,0.133333333333333,0,0.114900910831716
"34175",BANDURRIA,-19.66,-70.3,0,0.216944444444444,0,0.186976660337962
"34503",ANGAMOS4,-19.63,-70.31,0,0.329444444444444,0,0.283883322962935
"34552",SALMON,-19.64,-70.31,0,0.614444444444444,0,0.529501697416157
"34900",BLANQUILLO,-19.62,-70.3,0.665,0.876666666666667,0.572996948640127,0.755379436051897
"34970",EPERVA61,-19.61,-70.32,0,0.123333333333333,0,0.106263500993816
"35297",CORPESCAI,-19.66,-70.27,0,0.514444444444444,0,0.44338127393842
"35336",CORPESCAI,-19.66,-70.26,0.0333333333333333,0.110833333333333,0.0287288082465499,0.0955232874197784
"35786",EPERVA51,-19.64,-70.31,0,0.266666666666667,0,0.229801821663432
"37735",ICALMA,-19.63,-70.29,0,0.15,0,0.129255475885316
"38375",TRUENOI,-19.6,-70.3,0,0.15,0,0.129231359113399
"38500",TRUENOI,-19.66,-70.26,0,0.221111111111111,0,0.190567761368781
"39645",ANGAMOS9,-19.65,-70.3,0,0.289722222222222,0,0.249685659812849
"40758",ANGAMOS3,-19.65,-70.3,0.145555555555556,0.921944444444444,0.125441309436177,0.794541423699757
"40803",EPERVA56,-19.62,-70.27,0,0.1325,0,0.114168564954612
"42942",HURACAN,-19.61,-70.26,0,0.165833333333333,0,0.142881329038982
"43244",PUCARA,-19.63,-70.27,0,0.133333333333333,0,0.114893756342503
"43299",COSTAGRANDE1,-19.66,-70.3,0,0.266666666666667,0,0.229830465972399
"43437",MARLIN,-19.62,-70.32,0,0.133333333333333,0,0.114886606243635
"43740",SALMON,-19.62,-70.3,0.182777777777778,0.266666666666667,0.157490389392316,0.229773212487269
"44543",HURACAN,-19.61,-70.28,0,0.5175,0,0.445875906197025
"44934",EPERVA62,-19.66,-70.26,0,0.269166666666667,0,0.23198512659089
"45052",ATACAMAIV,-19.62,-70.26,0,0.133333333333333,0,0.114886606243635
"45097",ALBIMER,-19.63,-70.3,0,0.266666666666667,0,0.229787512685006
"45108",ALBIMER,-19.64,-70.29,1.06666666666667,1.86666666666667,0.919207286653727,1.60861275164402
"45462",EPERVA49,-19.66,-70.26,0,0.133333333333333,0,0.1149152329862
"45623",EPERVA51,-19.65,-70.27,0,0.255,0,0.219761683325212
"45737",RELAMPAGO,-19.62,-70.31,0,0.380555555555556,0,0.32790552198704
"45872",BARRACUDAIV,-19.66,-70.28,0,0.377222222222222,0,0.32511434665679
"45894",CLAUDIAALEJANDRA,-19.65,-70.23,0,0.133333333333333,0,0.114908069712529
"46648",CORPESCA2,-19.61,-70.3,0,0.266944444444444,0,0.229998253277156
"46766",MERO,-19.61,-70.32,0,0.522777777777778,0,0.45042321817649
"47149",LOA7,-19.6,-70.3,0,0.416666666666667,0,0.35897599753722
"47278",LOA7,-19.65,-70.3,0,0.55,0,0.473995787564182
"47375",HALCON,-19.66,-70.26,1.93555555555556,2.28416666666667,1.668186132183,1.96864158509483
"47449",BANDURRIA,-19.61,-70.3,0,0.133333333333333,0,0.114879460533855
"47600",MARLIN,-19.66,-70.27,0,0.569722222222222,0,0.491023214280615
"47750",EPERVA51,-19.63,-70.31,0,0.279722222222222,0,0.241037526326876
"48677",EPERVA51,-19.61,-70.31,0,0.630833333333333,0,0.543523447650802
"48853",MARLIN,-19.66,-70.26,0,0.621666666666667,0,0.535792273798155
"48995",ANGAMOS1,-19.6,-70.3,0.812222222222222,1.01833333333333,0.699763877865887,0.877337337980965
"49106",AVENTURERO,-19.64,-70.31,0.733333333333333,1.49527777777778,0.631955009574437,1.28856583959818
"49359",LOA1,-19.66,-70.24,0,0,0,0
"50130",HALCON,-19.61,-70.29,0,0.213333333333333,0,0.183807136854168
"50255",EPERVA62,-19.63,-70.32,0,0.5375,0,0.463165455255715
"50377",AVENTURERO,-19.63,-70.32,0,0.211388888888889,0,0.182154476201343
"50671",RELAMPAGO,-19.63,-70.28,0,0.268611111111111,0,0.231463046631668
"51436",LOA7,-19.63,-70.3,0,0.266666666666667,0,0.229787512685006
"51461",AUDAZ,-19.63,-70.3,0,0.696388888888889,0,0.600080514897198
"51462",AUDAZ,-19.65,-70.29,0,0.1,0,0.0861810522843967
"51700",COSTAGRANDE1,-19.66,-70.29,0,0.816666666666667,0,0.703855802040472
"52090",EPERVA61,-19.65,-70.3,1.04916666666667,2.8625,0.904182873550462,2.46693262164086
"52272",HALCON,-19.66,-70.27,0,0.1275,0,0.109887691543053
"52430",ANGAMOS9,-19.66,-70.3,0,0.191388888888889,0,0.164951240682274
"52435",ANGAMOS9,-19.6,-70.3,0,0.28,0,0.241231870345012
"52836",LOA2,-19.65,-70.25,0,0.266666666666667,0,0.229816139425058
"52888",CLAUDIAALEJANDRA,-19.65,-70.26,0,0.533333333333333,0,0.459632278850116
"52924",CLAUDIAALEJANDRA,-19.65,-70.3,0,0.266666666666667,0,0.229816139425058
"53195",MARLIN,-19.65,-70.28,0,0.311111111111111,0,0.268118829329234
"53507",MARLIN,-19.6,-70.31,0,0.286111111111111,0,0.246496851642224
"53725",MERO,-19.66,-70.3,0,0.266666666666667,0,0.229830465972399
"53744",ALERCE,-19.64,-70.3,0,0.133333333333333,0,0.114900910831716
"53999",ANGAMOS1,-19.65,-70.26,0,0.1125,0,0.0969536838199463
"54076",ATACAMAV,-19.61,-70.3,0,0.55,0,0.473877774702152
"54152",EPERVA49,-19.63,-70.29,0,0.4,0,0.344681269027509
"54529",COLLEN,-19.64,-70.29,0,0.266666666666667,0,0.229801821663432
"55373",DONERNESTOAYALAMARFIL,-19.61,-70.31,0,0.408055555555556,0,0.351579015675485
"55389",DONERNESTOAYALAMARFIL,-19.65,-70.29,0.406111111111111,0.571944444444444,0.349990828999411,0.492907740704369
"55450",EPERVA56,-19.6,-70.28,0,0.417222222222222,0,0.359454632200603
"55741",SALMON,-19.65,-70.31,0,0.5475,0,0.471841261257072
"55756",COSTAGRANDE1,-19.61,-70.29,0,1.76666666666667,0,1.52215285207358
"56342",TORNADO,-19.62,-70.28,0,0.421388888888889,0,0.363089545149153
"56391",AVENTURERO,-19.64,-70.28,0,1.00361111111111,0,0.864868730906228
"56435",BANDURRIA,-19.64,-70.31,0,0.206388888888889,0,0.177857034891593
"56711",ANGAMOS4,-19.6,-70.32,0.181944444444444,0.646944444444444,0.156752852257919,0.557370065509457
"57168",EPERVA61,-19.62,-70.31,0.475833333333333,0.975,0.410001576031971,0.840108308156577
"57217",MERO,-19.6,-70.29,0,0.183333333333333,0,0.157949438916377
"57430",ICALMA,-19.62,-70.32,0,0.281944444444444,0,0.242937302786019
"58590",EPERVA66,-19.64,-70.29,0,0.288055555555556,0,0.248233842776019
"58830",EPERVA64,-19.62,-70.32,0.397777777777778,0.397777777777778,0.342745041960176,0.342745041960176
"59562",DONGINO,-19.66,-70.25,0,0.116666666666667,0,0.100550828862925
"59692",DONGINO,-19.63,-70.32,0,0.101944444444444,0,0.0878458512035388
"60205",MERO,-19.6,-70.27,0,0.0233333333333333,0,0.0201026558620843
"60664",TRUENOI,-19.65,-70.28,0,0.065,0,0.0560176839848579
"61871",ANGAMOS9,-19.66,-70.28,0,0.604722222222222,0,0.521188462939493
"62631",PUCARA,-19.63,-70.31,0,0.318055555555556,0,0.274069481275346
