"","vessel_id","value"
"1","e7f06dc03-3685-4f94-993b-f8e304ff8937","ANGAMOS9"
"2","b547d6610-0eb6-57dc-1b98-07b29edc4793","EPERVA49"
"3","e5d533883-377d-5854-3b94-610fd142b1ac","HURACAN"
"4","a297e5608-835c-f424-bbce-4d88d988adce","ATACAMAV"
"5","e722ba7b7-77eb-ad9c-aa3b-48d0095d8120","CLAUDIAALEJANDRA"
"6","7ef93ee2c-cabd-477c-a027-c5f4e3edf584","BARRACUDAIV"
"7","56cfeae88-8c58-5ccd-e8dd-4164d74fbfa3","EPERVA66"
"8","757d301fa-ab43-25aa-8048-3485f5288646","ALERCE"
"9","5c5891d26-65db-c5bb-bdd2-fdfe1a98ad81","CAMINA"
"10","f29ea23cb-b309-6d90-4f26-048afe4b8530","EPERVA62"
"11","214890696-683e-978c-fe05-73bb493860e5","CORPESCA2"
"12","09fd66765-57bd-847f-5524-435d07ce1560","MERO"
"13","4cfdfcc13-31ad-b5da-937a-a406c53ffc32","ICALMA"
"14","7f2193453-3f2a-7a79-52c3-ed70e0a910a5","LOA2"
"15","2656c40a5-50cc-75bd-acf7-dbf4a4307920","COLLEN"
"16","312e105c9-914f-c5b4-8814-f01a14f41a6a","POLUX"
"17","e7bebfe03-346f-4d42-c55e-adcb71359635","ALBIMER"
"18","a0cccaaf6-630c-cffe-8af2-e5e24587f8b3","HALCON"
"19","8df24d966-6363-ba68-3dba-8ec2fbe3d54b","TORNADO"
"20","38fbc2742-2414-72c8-01e3-3a8e71675b39","ANGAMOS3"
"21","185c50254-40d6-4d3e-f51b-2077faee820c","MARLIN"
"22","c9bab7a6f-fa39-670e-d333-ac3fab6394ef","ATACAMAIV"
"23","f88b6d1a8-8dd1-c8d9-40bd-937387627b9a","EPERVA64"
"24","bae38ce09-9eaf-40dc-4917-4934871fc5da","BANDURRIA"
"25","96e5dec25-5deb-5ba3-7c64-f56496437298","GRINGO"
"26","6b709078d-da83-9fb0-16d2-4186433363ad","PUCARA"
"27","face695fb-bf51-9c63-daf7-4d0a17d7fae6","CONYI"
"28","0946129ba-aea8-3f05-e353-573e46f5fbdf","AVENTURERO"
"29","a8a2909c4-415a-c953-503b-e048f66283c1","LOA1"
"30","4059bfd9b-bdb1-6edf-4314-36d4be68398a","LICANTEN"
"31","acb725e1d-d0bb-5a4b-045d-8b5edb207ecf","COSTAGRANDE1"
"32","3d2bc04f4-4c16-ac9f-e2c3-1ef9ef5bac1e","SANJORGEI"
"33","b989aac12-2a47-1dea-7d23-7b0d22e63185","LOA7"
"34","fcd41fe10-0473-b208-6135-66f1e7e1e974","DONGINO"
"35","4837d6c12-2ac1-bf90-663b-4c1d90892796","RELAMPAGO"
"36","46a571a50-0c4e-2d95-cb1e-04b17e1da50c","TRUENOI"
"37","93dcc8145-5e45-2de2-3202-0ac550215bed","EPERVA51"
"38","c22a4a777-7040-4a53-8184-6d23be712466","ALERCE"
"39","b22e1e4f9-97c4-8fd8-25e9-f9c6735b3e53","HALCON"
"40","f9587e4ea-ade0-42a9-8182-ba9ff4af9d30","POLUX"
"41","ffe1273a1-1755-842c-60d3-39eb924ba9ed","PUCARA"
"42","fcdb849b5-528b-d327-c799-9acc2cc9ba1b","LOA1"
"43","044601752-279c-8c91-98ee-dbd9349a1011","LOA2"
"44","e97e9cb9d-da5e-3614-ad05-ee052977db8d","BANDURRIA"
"45","f8008c825-5bff-6ebd-d292-b4f0c67b13e2","AUDAZ"
"46","7b917ae9b-bd45-caf6-8159-681f1ec3f1f4","LICANTEN"
"47","402c426fd-d99a-1e0c-79c2-47a8fe1c8e59","EPERVA56"
"48","9c9ff0fb3-3153-1005-5d13-ee8972ccb4f4","COLLEN"
"49","abff4e636-6379-c867-52b4-de52c6947a5e","ICALMA"
"50","d3db1532f-f1c7-1aa5-62a6-3fd5d69b3ac4","LOA7"
"51","bb20dac71-131f-e089-1ae0-eb6b7a7183ec","SANJORGEI"
"52","c28610f21-19f2-115b-a452-351023f17026","SANJORGEI"
"53","0477f0d9b-b697-abfe-6965-8dd4262d646a","CAMINA"
"54","162f613f3-32dc-72ea-d7d3-1d948a1ba59f","ANGAMOS3"
"55","1cbb99b89-9a86-d7c3-1127-dd0a1e802b77","INTREPIDO"
"56","667b23170-01b1-06c1-315f-75e055581a63","AVENTURERO"
"57","dd03e5793-36e7-26c8-0692-c941be99c2e2","ANGAMOS1"
"58","63901327f-f16a-4817-1593-028843d8ef08","GRINGO"
"59","21847bde9-97e6-8a43-25ad-719230f7dbe7","DONERNESTOAYALAMARFIL"
"60","71365b3ee-eac3-51b1-fcb9-98d0cb3d8055","FOCHE"
"61","920280d0c-c865-851e-d90e-8d40bdc553c8","PARINAI"
"62","9c717f68e-e622-813f-3591-5001441a9574","EPERVA49"
"63","7d9d0d22d-dc56-328f-c959-8c0247c600f6","ANGAMOS4"
"64","6f94f9e12-24c0-8937-553b-55255244a4d4","CLAUDIAALEJANDRA"
"65","291c81ed8-8e48-0072-032a-0909da581f9f","TORNADO"
"66","c9155d0dc-c4e1-aedd-e41b-723965e5c415","RELAMPAGO"
"67","e2ad3463b-bf99-dabd-a2bc-c43361e8d823","EPERVA61"
"68","e1cc358aa-a3f1-a7d5-4081-573189d77078","EPERVA62"
"69","1798d174c-c96a-2f84-ccf5-303a09487c07","ATACAMAIV"
"70","69355e3c2-2e8a-566e-856c-a48754e31664","BARRACUDAIV"
"71","876820c52-2f54-669f-2c58-84694c36e245","MERO"
"72","cb9fa3ad8-8e5e-f557-698d-229492a91f9b","ALBIMER"
"73","59ad77c14-40bc-b848-c01d-5657a34ee084","SALMON"
"74","e5a03b6ec-c333-aeb4-877a-d929f3495f0d","ELENAS"
"75","d99d2d18f-fb69-9cf0-a858-9294dccda7a3","BLANQUILLO"
"76","1454960ef-fe25-5a84-c90f-0c6f7f798073","HURACAN"
"77","0b75e1060-0fc4-b086-123b-0419bb62df65","TRUENOI"
"78","165fe117d-d09e-88ea-875b-d5904bf69b94","COSTAGRANDE1"
"79","0e0de65a0-02fe-c441-6516-f71f1ca11226","ANGAMOS9"
"80","e079929d8-851e-77f8-fc76-b200b7091e2d","EPERVA64"
"81","f0ceac6b6-66db-e3a7-b040-9bcadf65842b","ATACAMAV"
"82","5a26861b9-97f3-adf5-9c86-c2f9ee3028ca","MARLIN"
"83","dd8ffcc2e-e5c4-5d01-3bd5-b9f74051de2d","EPERVA66"
"84","8d3861191-1903-0d1f-8b86-52f9f905b35f","EPERVA65"
"85","9594835bc-cc0f-6bd3-1a71-c5fb4070662e","TORNADO"
"86","dd224fd6d-de37-5e1c-128c-fb4b27557cfd","CORPESCA2"
"87","d0b21e5a6-66b3-c5bf-7a90-71a546ea8ef2","DONGINO"
"88","da4a0e82c-c129-f78a-ed82-330c72d498ab","DONERNESTOAYALAMARFIL"
"89","f2108d424-4179-25bb-5545-65d72f546466","EPERVA51"
