"","ssvid","imo","shipname","n_shipname"
"1","770576299","0","BANDURRIA","BANDURRIA"
"2","224470530",NA,"MARLIN","MARLIN"
"3","244810320",NA,"MARLIN","MARLIN"
"4","273356213","0","MARLIN","MARLIN"
"5","211743070","0","MARLIN","MARLIN"
"6","273333290","7700192","TORNADO           #?","TORNADO"
"7","792125572","0","ALBIMER","ALBIMER"
"8","273355510","0","MARLIN","MARLIN"
"9","345040017","9223801","HALCON","HALCON"
"10","171093624","4194304","TORNADO","TORNADO"
"11","293800000","8408466","INTREPIDO        &","INTREPIDO"
"12","770576191","0","HURACAN","HURACAN"
"13","636018687","9260067","TORNADO  )  ,      *","TORNADO"
"14","590774592","9250323","ALERCE N","ALERCE"
"15","265571760",NA,"MARLIN","MARLIN"
"16","211597070","0","SALMON","SALMON"
"17","725000029","0","INTREPIDO","INTREPIDO"
"18","408485000",NA,"TORNADO","TORNADO"
"19","725000197","8903753","HURACAN      !","HURACAN"
"20","225989382",NA,"INTREPIDO","INTREPIDO"
"21","725010191","0","MERO","MERO"
"22","235102779","0","MARLIN","MARLIN"
"23","211498140","0","MARLIN","MARLIN"
"24","244710731","0","TORNADO","TORNADO"
"25","800333345",NA,"MERO","MERO"
"26","244730754",NA,"TORNADO","TORNADO"
"27","258104060","0","MARLIN","MARLIN"
"28","244710731","0","TORNADO","TORNADO"
"29","725000029","0","INTREPIDO","INTREPIDO"
"30","770576299","0","BANDURRIA","BANDURRIA"
"31","293800000","8408466","INTREPIDO","INTREPIDO"
"32","701000844","0","PUCARA","PUCARA"
"33","265635970","0","CAMINA","CAMINA"
"34","244620777","0","MARLIN","MARLIN"
"35","247299900","0","INTREPIDO @@","INTREPIDO"
"36","247299900","0","INTREPIDO","INTREPIDO"
"37","293800000","8408466","INTREPIDO","INTREPIDO"
"38","306010000","949629000","MERO","MERO"
"39","224973270",NA,"POLUX_","POLUX"
"40","367032540","7944657","MARLIN","MARLIN"
"41","263062009",NA,"TORNADO","TORNADO"
"42","211756280","0","MARLIN","MARLIN"
"43","235114576","0","TORNADO","TORNADO"
"44","211597070","0","SALMON","SALMON"
"45","701000844","0","PUCARA","PUCARA"
"46","636014716","9453638","MARLIN   !","MARLIN"
"47","725001850","0","TORNADO","TORNADO"
"48","701006150","7723845","TORNADO","TORNADO"
"49","770576299","0","BANDURRIA","BANDURRIA"
"50","273318680","0","TORNADO","TORNADO"
"51","235114576","0","TORNADO","TORNADO"
"52","273333290","7700192","TORNADO","TORNADO"
"53","725001850","0","TORNADO","TORNADO"
"54","211756280","0","MARLIN","MARLIN"
"55","211611540",NA,"MARLIN","MARLIN"
"56","760112018","0","HALCON","HALCON"
"57","273415310","8227680","MARLIN","MARLIN"
"58","725001850","0","TORNADO","TORNADO"
"59","247299900","0","INTREPIDO","INTREPIDO"
"60","725000197","8903753","HURACAN","HURACAN"
"61","244710731","0","TORNADO","TORNADO"
"62","247299900","0","INTREPIDO @@","INTREPIDO"
"63","244730754","0","TORNADO","TORNADO"
"64","345040017","9223801","HALCON","HALCON"
