"","LatBin","LonBin","fishing_hours_sq_km","Log_fishing_hours_sq_km"
"1",-19.43,-72.97,0,-Inf
"2",-19.42,-72.96,0,-Inf
"3",-19.43,-72.95,0,-Inf
"4",-19.41,-72.94,0,-Inf
"5",-19.43,-72.93,0,-Inf
"6",-19.4,-72.92,0,-Inf
"7",-19.43,-72.9,0,-Inf
"8",-19.39,-72.9,0,-Inf
"9",-19.48,-72.89,0,-Inf
"10",-19.43,-72.88,0,-Inf
"11",-19.38,-72.88,0,-Inf
"12",-19.48,-72.87,0,-Inf
"13",-19.46,-72.87,0,-Inf
"14",-19.37,-72.86,0,-Inf
"15",-19.43,-72.85,0,-Inf
"16",-19.55,-72.84,0,-Inf
"17",-19.48,-72.84,0,-Inf
"18",-19.43,-72.84,0,-Inf
"19",-19.43,-72.83,0,-Inf
"20",-19.36,-72.83,0,-Inf
"21",-19.56,-72.82,0,-Inf
"22",-19.54,-72.82,0,-Inf
"23",-19.48,-72.82,0,-Inf
"24",-19.41,-72.82,0,-Inf
"25",-19.52,-72.81,0,-Inf
"26",-19.35,-72.81,0,-Inf
"27",-19.56,-72.8,0,-Inf
"28",-19.5,-72.8,0,-Inf
"29",-19.43,-72.8,0,-Inf
"30",-19.4,-72.8,0,-Inf
"31",-19.48,-72.79,0,-Inf
"32",-19.33,-72.79,0,-Inf
"33",-19.43,-72.78,0,-Inf
"34",-19.38,-72.78,0,-Inf
"35",-19.56,-72.77,0,-Inf
"36",-19.48,-72.77,0,-Inf
"37",-19.46,-72.77,0,-Inf
"38",-19.32,-72.77,0,-Inf
"39",-19.45,-72.76,0,-Inf
"40",-19.37,-72.76,0,-Inf
"41",-19.56,-72.75,0,-Inf
"42",-19.43,-72.75,0,-Inf
"43",-19.31,-72.75,0,-Inf
"44",-19.48,-72.74,0,-Inf
"45",-19.43,-72.74,0,-Inf
"46",-19.35,-72.74,0,-Inf
"47",-19.43,-72.73,0,-Inf
"48",-19.34,-72.73,0,-Inf
"49",-19.29,-72.73,0,-Inf
"50",-19.56,-72.72,0,-Inf
"51",-19.48,-72.72,0,-Inf
"52",-19.42,-72.72,0,-Inf
"53",-19.4,-72.71,0,-Inf
"54",-19.32,-72.71,0,-Inf
"55",-19.55,-72.7,0,-Inf
"56",-19.43,-72.7,0,-Inf
"57",-19.27,-72.7,0,-Inf
"58",-19.48,-72.69,0,-Inf
"59",-19.38,-72.69,0,-Inf
"60",-19.55,-72.68,0,-Inf
"61",-19.43,-72.68,0,-Inf
"62",-19.37,-72.68,0,-Inf
"63",-19.25,-72.68,0,-Inf
"64",-19.24,-72.68,0,-Inf
"65",-19.48,-72.67,0,-Inf
"66",-19.29,-72.67,0,-Inf
"67",-19.55,-72.66,0,-Inf
"68",-19.35,-72.66,0,-Inf
"69",-19.43,-72.65,0,-Inf
"70",-19.28,-72.65,0,-Inf
"71",-19.2,-72.65,0,-Inf
"72",-19.48,-72.64,0,-Inf
"73",-19.34,-72.64,0,-Inf
"74",-19.55,-72.63,0,-Inf
"75",-19.44,-72.63,0,-Inf
"76",-19.32,-72.63,0,-Inf
"77",-19.26,-72.63,0,-Inf
"78",-19.24,-72.63,0,-Inf
"79",-19.23,-72.63,0,-Inf
"80",-19.19,-72.63,0,-Inf
"81",-19.48,-72.62,0,-Inf
"82",-19.26,-72.62,0,-Inf
