"","Embarcacion","Horas"
"6","HURACAN (IND)",85.9561111111111
"18","EPERVA 56 (IND)",85.4858333333333
"69","EPERVA 66 (IND)",82.4738881
"44","TORNADO (IND)",75.3194454
"51","ICALMA (IND)",72.7727776
"41","EPERVA 65 (IND)",64.5277792
"22","ANGAMOS 2 (IND)",62.8433333333333
"71","EPERVA 62 (IND)",58.9744482
"30","BARRACUDA IV (IND)",58.56972227
"9","ATACAMA IV (IND)",58
"64","LOA 7 (IND)",57.1183354
"68","CORPESCA 2 (IND)",55.2022234
"7","ANGAMOS 3 (IND)",53.7522222222222
"78","ATACAMA V (IND)",53.5833334
"72","EPERVA 61 (IND)",52.7005562
"29","AVENTURERO (IND)",51.5080541
"12","DON ERNESTO AYALA MARFIL (IND)",51.155
"33","CLAUDIA ALEJANDRA (IND)",50.1333319
"62","ALBIMER (IND)",48.8000008
"67","ANGAMOS 1 (IND)",48.2933345
"5","ANGAMOS 9 (IND)",47.7522222222222
"10","INTREPIDO (IND)",46.5516666666667
"86","PUCARA (IND)",46.2308352
"39","MERO (IND)",45.8386116
"81","AUDAZ (IND)",44.9827782
"70","EPERVA 64 (IND)",43.1774993
"65","BLANQUILLO (IND)",42.7336122
"35","ANGAMOS 4 (IND)",42.6897225
"85","LOA 1 (IND)",41.7666661
"42","PARINA I (IND)",41.7438879
"4","TRUENO I (IND)",41.5502777777778
"8","COSTA GRANDE 1 (IND)",39.9333333333333
"27","SALMON (IND)",39.782776
"34","LICANTEN (IND)",36.9830556
"47","COLLEN (IND)",34.3333322
"60","RELAMPAGO (IND)",34.3097228
"46","EPERVA 49 (IND)",33.533333
"77","BANDURRIA (IND)",32.3388894
"1","LOA 2 (IND)",31.3333333333333
"63","DON GINO (IND)",30.5036108
"50","LOA 1 (IND)",28.9166682
"43","EPERVA 51 (IND)",22.3799996
"57","SAN JORGE I (IND)",21.2666666
"28","MARLIN (IND)",18.5369449
"76","ALBIMER (IND)",18.5333336
"14","EPERVA 56 (IND)",17.5405555555556
"26","EPERVA 66 (IND)",16.8641663
"58","ALERCE (IND)",16.5333343
"53","HALCON (IND)",15.5947227
"61","ATACAMA IV (IND)",14.2666674
"49","ATACAMA V (IND)",12.5999997
"40","INTREPIDO (IND)",11.8077782
"75","CLAUDIA ALEJANDRA (IND)",11.5999999
"21","RELAMPAGO (IND)",9.97944444444444
"52","COSTA GRANDE 1 (IND)",8.466667
"15","COLLEN (IND)",7.83333333333333
"19","LICANTEN (IND)",7.65000000000001
"37","LOA 2 (IND)",6.8166669
"36","BARRACUDA IV (IND)",6.7863896
"55","LOA 7 (IND)",6.7499999
"83","EPERVA 65 (IND)",5.9588883
"25","AUDAZ (IND)",5.4438897
"3","MERO (IND)",5.29888888888889
"11","CORPESCA 2 (IND)",5.09083333333333
"17","SAN JORGE I (IND)",4.055
"45","TORNADO (IND)",3.2166669
"31","ANGAMOS 2 (IND)",3.1222225
"66","DON ERNESTO AYALA MARFIL (IND)",2.9930557
"73","HURACAN (IND)",2.5952782
"59","SAN JORGE I (IND)",2.5102774
"23","ICALMA (IND)",2.4999997
"79","EPERVA 51 (IND)",2.4719447
"38","ANGAMOS 4 (IND)",2.3877782
"48","HALCON (IND)",2.3283331
"16","ANGAMOS 3 (IND)",2.26083333333333
"80","EPERVA 62 (IND)",2.2372224
"82","EPERVA 64 (IND)",2.116667
"74","BLANQUILLO (IND)",2.0327781
"54","EPERVA 49 (IND)",1.866667
"13","PARINA I (IND)",1.75
"24","EPERVA 61 (IND)",1.7461114
"20","TRUENO I (IND)",1.6
"32","PUCARA (IND)",1.2511111
"56","BANDURRIA (IND)",0.6666667
"2","CAMIÑA (IND)",0.557222222222222
"84","DON GINO (IND)",0.5333333
