"","Embarcacion","Horas"
"29","EPERVA 66 (IND)",71.3768190155351
"24","EPERVA 56 (IND)",68.3138477433691
"31","HURACAN (IND)",67.2478190571919
"32","ICALMA (IND)",57.2473117227559
"45","TORNADO (IND)",56.4384169212791
"28","EPERVA 65 (IND)",49.4327976290752
"13","BARRACUDA IV (IND)",49.3163101853892
"18","CORPESCA 2 (IND)",45.1434523811099
"4","ANGAMOS 2 (IND)",44.9947705407804
"26","EPERVA 62 (IND)",44.9548704477301
"8","ATACAMA IV (IND)",44.9126819381644
"1","ALBIMER (IND)",44.7007745218418
"9","ATACAMA V (IND)",43.0436629161592
"37","LOA 7 (IND)",41.8872027098272
"35","LOA 1 (IND)",39.6110737024303
"25","EPERVA 61 (IND)",38.554151039822
"5","ANGAMOS 3 (IND)",38.0096267205493
"20","DON ERNESTO AYALA MARFIL (IND)",37.6991691176709
"33","INTREPIDO (IND)",37.5681512206273
"19","COSTA GRANDE 1 (IND)",36.5494899119883
"16","CLAUDIA ALEJANDRA (IND)",36.4283841942829
"39","MERO (IND)",36.3148831291335
"11","AVENTURERO (IND)",35.1193576157497
"27","EPERVA 64 (IND)",34.7603837901148
"7","ANGAMOS 9 (IND)",34.6028588999812
"41","PUCARA (IND)",33.5417908372212
"6","ANGAMOS 4 (IND)",32.9834361772572
"10","AUDAZ (IND)",32.2297369617263
"3","ANGAMOS 1 (IND)",32.1674291158098
"14","BLANQUILLO (IND)",31.2183140132695
"46","TRUENO I (IND)",30.4062746177352
"43","SALMON (IND)",29.7831525737627
"42","RELAMPAGO (IND)",28.7293878858837
"17","COLLEN (IND)",28.6848725745238
"34","LICANTEN (IND)",28.1770817137089
"40","PARINA I (IND)",27.6091110070067
"36","LOA 2 (IND)",25.906990596182
"22","EPERVA 49 (IND)",25.5731369986957
"21","DON GINO (IND)",24.3045215540152
"12","BANDURRIA (IND)",19.9294056093229
"44","SAN JORGE I (IND)",17.6635759364976
"23","EPERVA 51 (IND)",16.1077566093037
"38","MARLIN (IND)",12.8833742934795
"30","HALCON (IND)",11.7564369372597
"2","ALERCE (IND)",10.2869210807481
"15","CAMIÑA (IND)",0.13004658247327
