"","Embarcacion","Horas"
"10","HURACAN (IND)",8347.62277777778
"5","AVENTURERO (IND)",7317.44388888889
"8","SALMON (IND)",7098.53055555555
"11","CORPESCA 2 (IND)",6923.44166666667
"9","BLANQUILLO (IND)",6058.03888888889
"13","MERO (IND)",5038.8225
"4","AUDAZ (IND)",2714.33611111111
"7","RELAMPAGO (IND)",2585.30416666667
"6","INTREPIDO (IND)",2071.56083333333
"12","TORNADO (IND)",764.588333333333
"16","INTREPIDO (IND)",179.299444444444
"2","HALCON (IND)",64.3863888888889
"1","MARLIN (IND)",26.5069444444444
"3","ALERCE (IND)",21.9983333333333
"14","ALBIMER (IND)",16
"15","INTREPIDO (IND)",8
