"","Embarcacion","Horas"
"3","ANGAMOS 1 (IND)",8751.65683635403
"31","HURACAN (IND)",8411.25272960792
"28","EPERVA 65 (IND)",8108.94983886938
"13","BARRACUDA IV (IND)",7997.27408015125
"5","ANGAMOS 3 (IND)",7993.24721584056
"18","CORPESCA 2 (IND)",7845.54829861171
"11","AVENTURERO (IND)",7472.22763465625
"29","EPERVA 66 (IND)",7459.21224879193
"42","RELAMPAGO (IND)",7406.61748550819
"21","DON GINO (IND)",7357.47713315954
"39","MERO (IND)",7280.5829272641
"38","MARLIN (IND)",7246.23838072975
"43","SALMON (IND)",7210.46427605924
"14","BLANQUILLO (IND)",6911.73485059052
"45","TORNADO (IND)",6280.44816852106
"35","LOA 1 (IND)",5205.45643276941
"8","ATACAMA IV (IND)",5112.9076504597
"36","LOA 2 (IND)",5045.08062995053
"27","EPERVA 64 (IND)",5024.68062767105
"17","COLLEN (IND)",4996.3012904291
"37","LOA 7 (IND)",4893.01549368246
"19","COSTA GRANDE 1 (IND)",4732.1250461259
"16","CLAUDIA ALEJANDRA (IND)",4447.12067720231
"34","LICANTEN (IND)",4192.0242546076
"9","ATACAMA V (IND)",3767.72094363762
"1","ALBIMER (IND)",3404.70166073451
"40","PARINA I (IND)",2869.66698709181
"25","EPERVA 61 (IND)",2754.51689770747
"20","DON ERNESTO AYALA MARFIL (IND)",2746.70635315251
"10","AUDAZ (IND)",2706.61665412985
"32","ICALMA (IND)",2623.52593901882
"24","EPERVA 56 (IND)",2581.06731020208
"26","EPERVA 62 (IND)",2564.21225243591
"41","PUCARA (IND)",2438.63641276494
"7","ANGAMOS 9 (IND)",2255.81434548924
"30","HALCON (IND)",2200.10868420883
"4","ANGAMOS 2 (IND)",2128.85288381105
"23","EPERVA 51 (IND)",2121.91365666914
"44","SAN JORGE I (IND)",2107.79332806389
"33","INTREPIDO (IND)",2106.00948438364
"2","ALERCE (IND)",2045.88282402369
"6","ANGAMOS 4 (IND)",2010.87173856602
"22","EPERVA 49 (IND)",1949.15993119294
"12","BANDURRIA (IND)",1909.59319967915
"46","TRUENO I (IND)",1704.92109129133
"15","CAMIÑA (IND)",1241.63261304935
