"","Embarcacion","Horas"
"11","ATACAMA IV (IND)",602.133333333333
"67","ALBIMER (IND)",576.8000086
"8","HURACAN (IND)",541.938333333333
"46","EPERVA 65 (IND)",541.2602862
"86","AUDAZ (IND)",539.3286108
"10","COSTA GRANDE 1 (IND)",534.1
"90","LOA 1 (IND)",529.4500069
"21","EPERVA 56 (IND)",513.291388888889
"15","DON ERNESTO AYALA MARFIL (IND)",506.954722222222
"34","BARRACUDA IV (IND)",499.78750027
"74","EPERVA 66 (IND)",495.63472313
"73","CORPESCA 2 (IND)",492.6413932
"37","CLAUDIA ALEJANDRA (IND)",492.5522215
"65","RELAMPAGO (IND)",491.8291672
"13","INTREPIDO (IND)",488.017222222222
"69","LOA 7 (IND)",486.4916736
"33","AVENTURERO (IND)",483.9252743
"47","PARINA I (IND)",482.7769415
"39","LICANTEN (IND)",468.6666663
"68","DON GINO (IND)",459.5363857
"2","LOA 2 (IND)",457.95
"44","MERO (IND)",454.31916154
"83","ATACAMA V (IND)",445.8666768
"77","EPERVA 61 (IND)",439.01111489
"9","ANGAMOS 3 (IND)",437.340277777778
"56","ICALMA (IND)",436.2780561
"52","COLLEN (IND)",431.6333306
"49","TORNADO (IND)",418.89971608
"76","EPERVA 62 (IND)",405.9763933
"40","ANGAMOS 4 (IND)",385.5338839
"58","HALCON (IND)",379.796942
"70","BLANQUILLO (IND)",377.82832986
"48","EPERVA 51 (IND)",336.1627781
"25","ANGAMOS 2 (IND)",325.703056055556
"75","EPERVA 64 (IND)",322.7475009
"30","SALMON (IND)",321.89694273
"72","ANGAMOS 1 (IND)",319.73527922
"7","ANGAMOS 9 (IND)",316.994166666667
"82","BANDURRIA (IND)",315.7813901
"51","EPERVA 49 (IND)",305.7999957
"63","ALERCE (IND)",292.3333359
"31","MARLIN (IND)",285.8738943
"91","PUCARA (IND)",265.3350042
"64","SAN JORGE I (IND)",240.9533325
"62","SAN JORGE I (IND)",235.5333326
"6","TRUENO I (IND)",205.364444444444
"55","LOA 1 (IND)",168.6333347
"18","COLLEN (IND)",162.516666666667
"3","CAMIÑA (IND)",162.268611111111
"66","ATACAMA IV (IND)",133.2000002
"60","LOA 7 (IND)",132.9166704
"42","LOA 2 (IND)",131.0500002
"61","BANDURRIA (IND)",128.5333332
"81","ALBIMER (IND)",128.266668
"59","EPERVA 49 (IND)",127.2000015
"54","ATACAMA V (IND)",126.4499992
"22","LICANTEN (IND)",123.216666666667
"38","ALERCE (IND)",115.4000007
"80","CLAUDIA ALEJANDRA (IND)",115.2799998
"1","ANGAMOS 1 (IND)",113.578888888889
"89","DON GINO (IND)",113.1441666
"53","HALCON (IND)",111.656667
"88","EPERVA 65 (IND)",106.3391671
"57","COSTA GRANDE 1 (IND)",105.7000034
"19","ANGAMOS 3 (IND)",101.382777777778
"14","CORPESCA 2 (IND)",100.941666666667
"24","RELAMPAGO (IND)",92.6708333333333
"4","AVENTURERO (IND)",92.5286111111111
"20","SAN JORGE I (IND)",90.0916666666667
"29","EPERVA 66 (IND)",86.5025016
"78","HURACAN (IND)",85.74139028
"71","DON ERNESTO AYALA MARFIL (IND)",85.1469444
"43","ANGAMOS 4 (IND)",80.37833556
"12","MARLIN (IND)",76.2805555555556
"36","PUCARA (IND)",75.4675006
"16","PARINA I (IND)",61.8452777777778
"79","BLANQUILLO (IND)",61.6738886
"84","EPERVA 51 (IND)",60.1038895
"28","AUDAZ (IND)",56.9244431
"5","MERO (IND)",56.3516666666667
"41","BARRACUDA IV (IND)",54.4452789
"45","INTREPIDO (IND)",52.2141672
"17","EPERVA 56 (IND)",50.9791666666667
"23","TRUENO I (IND)",50.3602777777778
"27","EPERVA 61 (IND)",40.2000001
"87","EPERVA 64 (IND)",39.8377785
"35","ANGAMOS 2 (IND)",39.2691652
"26","ICALMA (IND)",36.1986104
"50","TORNADO (IND)",34.2155556
"32","CAMIÑA (IND)",25.55055531
"85","EPERVA 62 (IND)",22.5755566
