"","Embarcacion","Horas"
"8","ATACAMA IV (IND)",479.998615413346
"1","ALBIMER (IND)",460.208026259237
"31","HURACAN (IND)",436.811854528786
"35","LOA 1 (IND)",422.376001213633
"42","RELAMPAGO (IND)",416.447030785
"19","COSTA GRANDE 1 (IND)",415.965780466829
"28","EPERVA 65 (IND)",415.456435287349
"13","BARRACUDA IV (IND)",405.755466346157
"18","CORPESCA 2 (IND)",403.648386726212
"10","AUDAZ (IND)",399.091573387742
"29","EPERVA 66 (IND)",398.307502126302
"24","EPERVA 56 (IND)",389.24902726971
"16","CLAUDIA ALEJANDRA (IND)",389.036102092487
"21","DON GINO (IND)",389.004021873128
"20","DON ERNESTO AYALA MARFIL (IND)",381.776450736181
"40","PARINA I (IND)",381.751250725343
"33","INTREPIDO (IND)",369.901396197221
"11","AVENTURERO (IND)",368.580299271918
"37","LOA 7 (IND)",368.181283933381
"17","COLLEN (IND)",364.587611907201
"34","LICANTEN (IND)",357.537304493625
"39","MERO (IND)",351.524793465853
"9","ATACAMA V (IND)",347.21626039734
"32","ICALMA (IND)",346.079746579982
"36","LOA 2 (IND)",345.552702926949
"44","SAN JORGE I (IND)",344.577828232635
"5","ANGAMOS 3 (IND)",336.541656370251
"25","EPERVA 61 (IND)",332.661605067631
"26","EPERVA 62 (IND)",305.335347207239
"30","HALCON (IND)",297.77217487148
"6","ANGAMOS 4 (IND)",292.651753479938
"14","BLANQUILLO (IND)",291.131786384359
"45","TORNADO (IND)",288.216928514503
"22","EPERVA 49 (IND)",267.728020368826
"12","BANDURRIA (IND)",265.893231396046
"3","ANGAMOS 1 (IND)",264.664962719835
"27","EPERVA 64 (IND)",257.580413430519
"2","ALERCE (IND)",247.612991284273
"23","EPERVA 51 (IND)",246.617262790605
"38","MARLIN (IND)",246.332464707033
"4","ANGAMOS 2 (IND)",245.11982608264
"7","ANGAMOS 9 (IND)",231.89769181259
"43","SALMON (IND)",227.822780061959
"41","PUCARA (IND)",217.678616322955
"46","TRUENO I (IND)",164.469823036673
"15","CAMIÑA (IND)",140.413414687385
