"","Embarcacion","Horas"
"32","ICALMA (IND)",13.7685213886104
"24","EPERVA 56 (IND)",11.084636555385
"29","EPERVA 66 (IND)",9.73579708360471
"46","TRUENO I (IND)",8.69594343963083
"4","ANGAMOS 2 (IND)",8.07039383826669
"8","ATACAMA IV (IND)",7.57902105715548
"23","EPERVA 51 (IND)",6.79483873652339
"1","ALBIMER (IND)",6.77427340886779
"35","LOA 1 (IND)",6.73147216820663
"7","ANGAMOS 9 (IND)",6.53336521674172
"26","EPERVA 62 (IND)",6.46655692706444
"5","ANGAMOS 3 (IND)",5.86779574199696
"41","PUCARA (IND)",5.75243455536048
"13","BARRACUDA IV (IND)",5.62886384068996
"19","COSTA GRANDE 1 (IND)",5.55526342400408
"16","CLAUDIA ALEJANDRA (IND)",5.28275096924879
"18","CORPESCA 2 (IND)",4.9438967496983
"6","ANGAMOS 4 (IND)",4.68963537856921
"9","ATACAMA V (IND)",3.93354466574411
"10","AUDAZ (IND)",3.84259399008298
"20","DON ERNESTO AYALA MARFIL (IND)",3.52453826583384
"33","INTREPIDO (IND)",3.45659957931785
"28","EPERVA 65 (IND)",3.42158723678999
"45","TORNADO (IND)",3.38319498762082
"42","RELAMPAGO (IND)",3.30157465775738
"38","MARLIN (IND)",3.17083607043139
"31","HURACAN (IND)",3.12640948179675
"43","SALMON (IND)",2.75965817656519
"25","EPERVA 61 (IND)",2.7336211492174
"17","COLLEN (IND)",2.72758473455481
"39","MERO (IND)",2.38555130209257
"36","LOA 2 (IND)",2.21095954088698
"3","ANGAMOS 1 (IND)",1.79990609521507
"37","LOA 7 (IND)",1.73700532198205
"22","EPERVA 49 (IND)",1.66553087790986
"2","ALERCE (IND)",1.31972451854555
"11","AVENTURERO (IND)",1.31939974139527
"21","DON GINO (IND)",0.887941151786636
"12","BANDURRIA (IND)",0.745592724645378
"14","BLANQUILLO (IND)",0.431248170541278
"40","PARINA I (IND)",0.225140145416591
"15","CAMIÑA (IND)",0
"27","EPERVA 64 (IND)",0
"30","HALCON (IND)",0
"34","LICANTEN (IND)",0
"44","SAN JORGE I (IND)",0
