"","Embarcacion","Horas"
"16","ALBIMER (IND)",0.533333333333332
"15","SALMON (IND)",0.2675
"9","BANDURRIA (IND)",0.266666666666666
"14","ATACAMA IV (IND)",0.266666666666666
"8","ICALMA (IND)",0.250277777777778
"17","HURACAN (IND)",0.189722222222222
"1","EPERVA 49 (IND)",0.133333333333333
"10","LICANTEN (IND)",0.133333333333333
"11","LOA 1 (IND)",0.133333333333333
"12","CAMIÑA (IND)",0.130555555555556
"6","MERO (IND)",0.126388888888889
"5","TORNADO (IND)",0.105
"4","LOA 7 (IND)",0.1
"18","ANGAMOS 9 (IND)",0.0833333333333333
"7","MARLIN (IND)",0.0758333333333333
"3","EPERVA 65 (IND)",0.0669444444444444
"2","EPERVA 66 (IND)",0.0388888888888889
"13","ANGAMOS 2 (IND)",0.0386111111111111
