"","Embarcacion","Horas"
"31","HURACAN (IND)",16.970885155805
"36","LOA 2 (IND)",12.74940015621
"19","COSTA GRANDE 1 (IND)",11.5826005590135
"45","TORNADO (IND)",11.4809755481122
"1","ALBIMER (IND)",11.1543381050609
"29","EPERVA 66 (IND)",10.9211916891961
"24","EPERVA 56 (IND)",10.8093845236143
"17","COLLEN (IND)",10.7631500620792
"28","EPERVA 65 (IND)",9.98880328271018
"3","ANGAMOS 1 (IND)",9.30607515821419
"11","AVENTURERO (IND)",9.08442688348524
"32","ICALMA (IND)",9.05672836681381
"37","LOA 7 (IND)",8.54214194421236
"40","PARINA I (IND)",8.43596391353596
"26","EPERVA 62 (IND)",7.95034688111364
"43","SALMON (IND)",7.68863345164698
"21","DON GINO (IND)",7.1223793003324
"22","EPERVA 49 (IND)",7.06950332217433
"34","LICANTEN (IND)",7.01454536669448
"18","CORPESCA 2 (IND)",7.00709395367771
"4","ANGAMOS 2 (IND)",6.88568370765066
"27","EPERVA 64 (IND)",6.17468815086172
"12","BANDURRIA (IND)",6.03533968055117
"14","BLANQUILLO (IND)",5.98606122303161
"39","MERO (IND)",5.6895226192329
"6","ANGAMOS 4 (IND)",5.48294844155977
"46","TRUENO I (IND)",5.35583187751447
"8","ATACAMA IV (IND)",5.28752265198338
"44","SAN JORGE I (IND)",5.07985467450486
"41","PUCARA (IND)",4.77292049051899
"25","EPERVA 61 (IND)",4.6079002591653
"33","INTREPIDO (IND)",4.54124609465776
"20","DON ERNESTO AYALA MARFIL (IND)",4.52292664387503
"10","AUDAZ (IND)",4.21787889686141
"16","CLAUDIA ALEJANDRA (IND)",4.02457160389787
"5","ANGAMOS 3 (IND)",4.00469218844535
"7","ANGAMOS 9 (IND)",3.99058123580953
"42","RELAMPAGO (IND)",3.55107290704679
"35","LOA 1 (IND)",3.46356551439923
"23","EPERVA 51 (IND)",3.27940672318871
"2","ALERCE (IND)",3.21993475352901
"38","MARLIN (IND)",2.9913622061886
"9","ATACAMA V (IND)",2.64470347496811
"30","HALCON (IND)",2.63882777044186
"13","BARRACUDA IV (IND)",2.25410063413094
"15","CAMIÑA (IND)",0.13004658247327
