"","Embarcacion","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ALBIMER (IND)",967,3764
"2","ALERCE (IND)",786,3694
"3","ANGAMOS 1 (IND)",448,1788
"4","ANGAMOS 2 (IND)",667,3365
"5","ANGAMOS 3 (IND)",736,3782
"6","ANGAMOS 4 (IND)",560,2555
"7","ANGAMOS 9 (IND)",607,3481
"8","ATACAMA IV (IND)",983,3452
"9","ATACAMA V (IND)",672,3098
"10","AUDAZ (IND)",913,3897
"11","AVENTURERO (IND)",765,3875
"12","BANDURRIA (IND)",798,3794
"13","BARRACUDA IV (IND)",844,3520
"14","BLANQUILLO (IND)",568,2738
"15","CAMIÑA (IND)",476,2293
"16","CLAUDIA ALEJANDRA (IND)",860,3801
"17","COLLEN (IND)",645,2612
"18","CONY I (IND)",597,1038
"19","CORPESCA 2 (IND)",879,3890
"20","CORPESCA I (IND)",600,2849
"21","COSTA GRANDE 1 (IND)",770,3355
"22","DON ERNESTO AYALA MARFIL (IND)",883,3875
"23","DON GINO (IND)",768,2943
"24","ELENA S (IND)",328,433
"25","EPERVA 49 (IND)",755,3876
"26","EPERVA 51 (IND)",716,3538
"27","EPERVA 56 (IND)",950,3850
"28","EPERVA 61 (IND)",793,3799
"29","EPERVA 62 (IND)",879,4089
"30","EPERVA 64 (IND)",489,2385
"31","EPERVA 65 (IND)",752,2985
"32","EPERVA 66 (IND)",865,3294
"33","HALCON (IND)",869,4530
"34","HURACAN (IND)",819,4089
"35","ICALMA (IND)",817,3784
"36","INTREPIDO (IND)",1050,4446
"37","LICANTEN (IND)",698,2923
"38","LOA 1 (IND)",759,2793
"39","LOA 2 (IND)",644,2905
"40","LOA 7 (IND)",697,2546
"41","MARLIN (IND)",531,3259
"42","MERO (IND)",807,3773
"43","PARINA I (IND)",892,3935
"44","PUCARA (IND)",605,3338
"45","RELAMPAGO (IND)",929,3733
"46","SALMON (IND)",648,3114
"47","SAN JORGE I   (IND)",869,3730
"48","TORNADO (IND)",663,3830
"49","TRUENO I (IND)",417,2413
