"","Embarcacion","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ALBIMER (IND)",78,286
"2","ALERCE (IND)",12,128
"3","ANGAMOS 1 (IND)",35,134
"4","ANGAMOS 2 (IND)",49,246
"5","ANGAMOS 3 (IND)",44,203
"6","ANGAMOS 4 (IND)",37,179
"7","ANGAMOS 9 (IND)",38,206
"8","ATACAMA IV (IND)",79,250
"9","ATACAMA V (IND)",57,216
"10","AUDAZ (IND)",35,170
"11","AVENTURERO (IND)",46,234
"12","BANDURRIA (IND)",23,151
"13","BARRACUDA IV (IND)",54,229
"14","BLANQUILLO (IND)",35,156
"15","CAMIÑA (IND)",0,32
"16","CLAUDIA ALEJANDRA (IND)",62,282
"17","COLLEN (IND)",36,160
"18","CORPESCA 2 (IND)",53,218
"19","CORPESCA I (IND)",44,193
"20","COSTA GRANDE 1 (IND)",57,237
"21","DON ERNESTO AYALA MARFIL (IND)",45,205
"22","DON GINO (IND)",27,112
"23","EPERVA 49 (IND)",31,155
"24","EPERVA 51 (IND)",21,190
"25","EPERVA 56 (IND)",80,288
"26","EPERVA 61 (IND)",43,201
"27","EPERVA 62 (IND)",56,268
"28","EPERVA 64 (IND)",39,154
"29","EPERVA 65 (IND)",55,179
"30","EPERVA 66 (IND)",79,279
"31","HALCON (IND)",16,134
"32","HURACAN (IND)",77,281
"33","ICALMA (IND)",63,263
"34","INTREPIDO (IND)",48,199
"35","LICANTEN (IND)",36,172
"36","LOA 1 (IND)",48,187
"37","LOA 2 (IND)",30,142
"38","LOA 7 (IND)",50,172
"39","MARLIN (IND)",14,154
"40","MERO (IND)",48,232
"41","PARINA I (IND)",33,189
"42","PUCARA (IND)",40,200
"43","RELAMPAGO (IND)",43,206
"44","SALMON (IND)",41,211
"45","SAN JORGE I   (IND)",24,112
"46","TORNADO (IND)",69,283
"47","TRUENO I (IND)",36,168
