"","Embarcacion","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ALBIMER (IND)",4,19
"2","ALERCE (IND)",0,6
"3","ANGAMOS 1 (IND)",5,12
"4","ANGAMOS 2 (IND)",4,20
"5","ANGAMOS 3 (IND)",6,19
"6","ANGAMOS 4 (IND)",1,9
"7","ANGAMOS 9 (IND)",2,11
"8","ATACAMA IV (IND)",8,23
"9","ATACAMA V (IND)",2,16
"10","AUDAZ (IND)",0,6
"11","AVENTURERO (IND)",2,13
"12","BANDURRIA (IND)",0,7
"13","BARRACUDA IV (IND)",2,12
"14","BLANQUILLO (IND)",2,11
"15","CAMIÑA (IND)",0,3
"16","CLAUDIA ALEJANDRA (IND)",5,29
"17","COLLEN (IND)",1,10
"18","CORPESCA 2 (IND)",2,11
"19","CORPESCA I (IND)",1,10
"20","COSTA GRANDE 1 (IND)",0,16
"21","DON ERNESTO AYALA MARFIL (IND)",2,10
"22","DON GINO (IND)",5,12
"23","EPERVA 49 (IND)",0,6
"24","EPERVA 51 (IND)",0,12
"25","EPERVA 56 (IND)",3,15
"26","EPERVA 61 (IND)",9,23
"27","EPERVA 62 (IND)",1,15
"28","EPERVA 64 (IND)",5,11
"29","EPERVA 65 (IND)",2,10
"30","EPERVA 66 (IND)",1,16
"31","HALCON (IND)",3,10
"32","HURACAN (IND)",4,17
"33","ICALMA (IND)",0,14
"34","INTREPIDO (IND)",1,6
"35","LICANTEN (IND)",3,15
"36","LOA 1 (IND)",1,14
"37","LOA 2 (IND)",2,13
"38","LOA 7 (IND)",3,14
"39","MARLIN (IND)",1,14
"40","MERO (IND)",2,12
"41","PARINA I (IND)",0,9
"42","PUCARA (IND)",2,8
"43","RELAMPAGO (IND)",0,9
"44","SALMON (IND)",3,17
"45","SAN JORGE I   (IND)",1,4
"46","TORNADO (IND)",0,12
"47","TRUENO I (IND)",3,11
